@relation training_keyboard-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
4,4,2,4,175,174,13,East
3,3,1,3,174,173,12,East
2,2,0,2,173,372,11,East
5,6,6,5,372,371,10,East
6,6,6,6,371,370,9,North
6,8,8,6,370,369,8,North
4,6,6,4,369,368,9,North
4,6,6,4,368,367,10,North
3,5,5,3,367,366,11,West
2,4,4,2,366,365,12,North
4,4,4,2,365,364,13,North
99999,4,4,2,364,363,14,West
99999,3,3,1,363,362,15,West
99999,3,3,1,362,361,16,West
99999,1,3,1,361,360,17,West
99999,1,3,3,360,359,18,East
99999,3,5,3,359,358,17,East
99999,3,5,3,358,357,16,South
5,3,5,3,357,356,15,West
3,3,3,1,356,355,16,West
1,3,3,1,355,354,17,West
1,3,3,1,354,353,18,West
1,3,3,1,353,352,19,West
0,2,2,2,352,351,20,East
1,3,3,1,351,350,19,North
99999,3,3,1,350,549,20,West
99999,23,23,25,549,548,21,West
99999,23,23,99999,548,547,22,Stop
99999,22,22,99999,547,546,22,East
99999,22,22,24,546,545,21,East
99999,22,22,24,545,544,20,East
99999,21,21,23,544,543,19,East
99999,19,19,21,543,542,18,East
99999,17,17,19,542,541,17,South
17,15,15,17,541,540,16,South
15,13,13,15,540,539,15,East
13,11,11,13,539,538,14,East
12,10,10,12,538,537,13,East
10,8,8,10,537,536,12,East
10,8,8,10,536,535,11,South
8,6,6,8,535,534,10,East
8,6,6,8,534,533,9,East
6,4,4,6,533,532,8,East
4,2,2,4,532,531,7,South
4,2,2,4,531,530,6,South
2,4,2,4,530,529,5,East
99999,11,11,13,0,-1,2,Stop
99999,11,11,13,-1,-2,2,Stop
99999,11,11,13,-2,-3,2,East
99999,10,10,12,-3,-4,1,East
99999,9,9,11,-4,95,1,East
99999,8,8,10,95,194,1,East
99999,7,7,9,194,293,1,East
99999,6,6,8,293,392,1,East
99999,5,5,7,392,491,1,South
6,4,4,6,491,590,1,South
5,3,3,5,590,689,1,South
4,2,2,4,689,788,1,South
3,1,1,3,788,887,1,East
2,0,2,2,887,1086,1,South
7,5,7,5,1086,1085,1,South
6,4,6,4,1085,1184,1,South
5,3,5,3,1184,1283,1,South
4,2,4,2,1283,1282,1,South
3,99999,3,1,1282,1381,1,West
2,99999,2,0,1381,1580,1,West
18,99999,18,20,1580,1579,1,East
17,99999,17,19,1579,1578,1,East
16,99999,16,18,1578,1577,2,East
15,99999,15,17,1577,1576,1,East
14,99999,14,16,1576,1575,2,East
13,99999,13,15,1575,1574,2,North
12,14,12,14,1574,1573,1,North
11,13,11,13,1573,1672,1,East
10,12,10,12,1672,1771,1,East
9,11,9,11,1771,1870,1,East
8,10,8,10,1870,1969,1,North
7,9,7,9,1969,2068,1,North
6,8,6,8,2068,2167,1,North
5,7,5,7,2167,2266,1,North
4,6,4,6,2266,2365,1,North
3,5,3,5,2365,2464,1,North
2,4,2,4,2464,2563,1,North
99999,3,1,3,2563,2662,1,East
99999,2,0,2,2662,2861,2,East
99999,5,5,7,2861,2960,1,East
99999,4,4,6,2960,3059,1,South
5,3,3,5,3059,3158,1,South
4,2,2,4,3158,3257,1,East
3,1,1,3,3257,3356,1,East
99999,12,12,14,-1,-2,2,Stop
99999,12,12,14,-2,-3,2,East
99999,8,8,10,-4,95,1,East
99999,8,10,10,95,194,1,East
99999,10,11,10,194,293,1,East
99999,10,10,10,293,392,1,East
99999,9,9,11,392,491,1,South
11,9,9,11,491,590,1,South
10,9,8,9,590,689,1,South
9,7,7,7,689,788,1,South
8,7,7,7,788,887,1,South
7,5,7,5,887,886,1,West
7,5,7,5,886,885,1,West
7,5,7,5,885,984,1,West
6,4,6,4,984,1083,1,South
6,4,6,4,1083,1182,1,South
4,2,4,2,1182,1281,1,South
2,0,2,2,1281,1380,1,West
3,1,1,3,1380,1379,1,South
2,99999,0,2,1379,1678,1,East
6,99999,6,8,1678,1777,1,East
5,99999,5,7,1777,1776,2,East
5,99999,5,7,1776,1775,1,North
3,5,3,5,1775,1774,1,North
3,3,1,3,1774,2073,1,East
12,14,12,14,2073,2172,1,East
12,14,12,14,2172,2271,1,East
10,12,10,12,2271,2270,1,East
8,10,8,10,2270,2269,2,East
8,10,8,10,2269,2368,1,East
8,10,8,10,2368,2467,1,East
6,8,6,8,2467,2566,1,East
6,8,6,8,2566,2665,1,North
4,6,4,6,2665,2764,1,East
3,5,3,5,2764,2863,1,East
2,4,2,4,2863,2962,1,East
0,2,2,2,2962,3261,1,North
5,7,5,7,3261,3360,1,North
5,7,5,7,3360,3459,1,North
4,6,4,6,3459,3558,1,North
4,4,2,4,3558,3657,1,East
99999,6,6,99999,0,-1,14,Stop
99999,6,6,99999,-1,-2,14,Stop
99999,6,6,99999,-2,-3,14,Stop
99999,6,6,99999,-3,-4,14,East
99999,99999,5,7,-4,-5,13,East
99999,99999,4,6,-5,-6,12,East
99999,99999,3,5,-6,-7,11,East
99999,2,2,4,-7,-8,10,East
99999,1,1,3,-8,-9,9,East
99999,99999,0,2,-9,190,8,East
99999,99999,5,3,190,189,7,West
99999,99999,4,2,189,188,8,West
99999,1,3,3,188,187,9,South
2,0,99999,2,187,386,8,South
9,7,7,9,386,385,7,East
99999,6,6,8,385,384,6,East
99999,5,7,7,384,383,5,East
99999,6,7,6,383,382,4,East
8,7,6,7,382,381,3,South
7,6,99999,6,381,380,2,South
7,5,99999,5,380,479,1,South
6,4,99999,4,479,478,8,West
5,3,5,3,478,477,9,West
4,2,4,99999,477,476,10,Stop
4,2,4,99999,476,475,10,South
3,3,3,1,475,474,11,South
2,4,4,2,474,473,12,South
3,99999,5,3,473,472,13,West
2,99999,4,2,472,471,14,West
1,99999,3,3,471,470,15,North
0,2,2,2,470,669,14,North
99999,10,8,10,669,668,13,East
99999,9,7,9,668,667,12,East
8,8,6,8,667,666,11,East
7,7,5,7,666,665,10,East
6,6,4,6,665,664,9,East
99999,5,3,5,664,663,8,East
99999,99999,2,4,663,662,7,East
99999,3,1,3,662,661,6,East
99999,5,5,99999,-1,-2,14,Stop
99999,6,4,99999,-2,-3,14,Stop
