@relation training_keyboard_score3-weka.filters.unsupervised.attribute.Remove-R7

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
3,1,3,1,1480,1777,South
2,99999,2,0,1579,1776,West
18,99999,18,20,1778,1875,East
17,99999,17,19,1777,1974,East
16,99999,16,18,1776,2073,North
15,17,15,17,1875,2072,North
14,16,14,16,1974,2071,East
13,15,13,15,2073,2170,East
12,14,12,14,2072,2269,East
11,13,11,13,2071,2368,East
10,12,10,12,2170,2467,East
9,11,9,11,2269,2566,East
8,10,8,10,2368,2665,North
7,9,7,9,2467,2764,North
6,8,6,8,2566,2863,North
5,7,5,7,2665,2962,North
4,6,4,6,2764,3061,North
3,5,3,5,2863,3160,North
2,4,2,4,2962,3359,North
99999,3,1,3,3061,3458,East
99999,2,0,2,3160,3557,East
99999,5,5,7,3359,3656,East
99999,4,4,6,3458,3755,South
5,3,3,5,3557,3854,South
99999,11,11,13,0,-3,Stop
99999,10,10,12,-1,96,East
99999,9,9,11,-2,195,East
99999,7,7,9,-3,294,East
99999,5,5,7,96,393,East
99999,5,7,5,195,492,East
99999,7,9,7,294,591,East
99999,8,10,8,393,690,South
9,7,9,7,492,789,South
9,7,8,7,591,888,South
8,7,8,7,690,987,South
7,5,7,5,789,1086,South
7,5,7,5,888,1185,South
5,3,5,3,987,1284,West
3,1,3,3,1086,1383,West
5,3,3,4,1185,1482,West
5,3,3,3,1284,1581,South
5,3,3,3,1383,1680,South
3,1,3,1,1482,1679,West
3,1,1,3,1581,1678,West
3,1,1,3,1680,1677,West
3,3,1,3,1679,1876,South
3,99999,1,3,1678,1975,East
3,99999,1,3,1677,2074,East
5,99999,5,7,1876,2073,East
3,99999,3,5,1975,2272,East
1,99999,3,3,2074,2271,East
1,99999,3,3,2073,2270,North
14,16,14,16,2272,2269,North
13,15,13,15,2271,2268,West
13,15,13,15,2270,2267,West
14,16,14,16,2269,2366,East
13,15,13,15,2268,2465,East
11,13,11,13,2267,2564,East
11,13,11,13,2366,2563,East
10,12,10,12,2465,2562,East
8,10,8,10,2564,2661,East
8,10,8,10,2563,2760,East
8,10,8,10,2562,2859,East
6,8,6,8,2661,2958,East
4,6,4,6,2760,3057,East
4,6,4,6,2859,3156,North
4,5,3,5,2958,3255,East
2,4,3,4,3057,3254,East
2,4,2,2,3156,3453,East
3,2,2,3,3255,3452,East
2,2,0,2,3254,3451,East
3,5,5,3,3453,3450,East
5,7,99999,5,3452,3449,West
3,5,5,3,3451,3448,West
3,5,5,3,3450,3447,West
3,5,5,3,3449,3446,West
2,4,4,2,3448,3445,West
2,4,4,2,3447,3544,North
2,4,4,2,3446,3643,North
2,4,4,2,3445,3742,West
2,4,2,4,3544,3841,North
0,2,2,2,3643,3840,North
2,2,0,2,3742,3839,North
3,1,1,3,3841,3838,East
3,1,3,1,3840,3837,East
3,3,3,1,3839,3836,South
1,3,3,1,3838,3835,West
1,3,3,1,3837,3934,West
1,3,3,1,3836,3933,North
3,1,3,1,3835,4032,North
99999,2,4,2,3934,4131,West
99999,2,4,2,3933,4130,South
2,0,2,2,4032,4129,South
2,2,0,2,4131,4228,South
1,3,1,3,4130,4227,East
1,3,3,3,4129,4226,East
1,3,3,3,4228,4325,North
1,3,3,3,4227,4324,North
1,3,1,3,4226,4423,North
99999,2,0,2,4325,4422,East
