@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R6

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
13,11,13,11,384,7,South
11,13,13,11,383,8,North
11,13,13,11,382,7,North
10,11,12,10,381,6,North
10,12,12,10,380,7,North
9,11,11,9,379,8,North
9,11,11,9,378,9,North
11,11,11,9,377,10,West
9,11,11,9,376,11,North
99999,9,9,7,375,12,West
99999,7,7,5,374,13,West
99999,5,5,3,373,14,West
99999,4,4,2,372,15,West
99999,2,2,0,371,16,West
99999,14,16,16,570,17,South
14,12,14,14,569,16,South
12,10,12,12,568,15,South
11,9,11,11,567,14,South
10,8,10,99999,566,13,South
9,7,9,7,565,12,South
8,6,8,6,564,13,South
6,4,6,4,563,14,South
5,3,5,3,562,15,South
5,3,5,3,561,16,South
4,4,4,2,560,17,West
4,2,4,2,559,18,South
4,99999,4,2,558,19,West
99999,11,11,13,0,2,South
12,10,10,12,-1,1,East
11,9,9,11,98,1,East
10,8,8,10,197,1,East
9,7,7,9,296,1,South
8,6,6,8,395,1,South
7,5,5,7,494,1,East
6,4,4,6,593,1,East
5,3,3,5,692,1,East
4,2,2,4,791,1,South
3,1,1,3,890,1,East
2,0,2,2,989,1,South
7,5,7,5,1188,1,West
6,4,6,4,1287,1,South
5,3,5,3,1386,1,West
4,2,4,4,1485,1,South
3,1,3,3,1484,1,South
2,0,2,2,1483,1,South
18,99999,18,20,1682,1,East
17,99999,17,19,1781,1,North
16,18,16,18,1880,1,East
15,17,15,17,1979,1,East
14,16,14,16,2078,1,North
13,15,13,15,2177,1,North
12,14,12,14,2176,1,North
11,13,11,13,2275,1,North
10,12,10,12,2374,2,North
9,11,9,11,2373,1,North
8,10,8,10,2472,1,North
7,9,7,9,2571,1,North
99999,8,6,8,2570,2,East
99999,7,5,7,2569,3,East
99999,6,4,6,2568,2,East
99999,5,3,5,2567,1,East
99999,4,2,4,2566,1,East
99999,3,1,3,2665,1,East
99999,2,0,2,2764,2,East
99999,5,5,7,2963,1,East
99999,4,4,6,3062,1,South
5,3,3,5,3161,1,East
4,2,2,4,3260,1,East
3,1,3,3,3359,1,South
99999,11,11,13,0,2,South
12,10,10,12,-1,1,East
12,10,10,12,98,1,East
11,9,9,11,197,1,East
9,7,7,9,296,1,South
9,7,7,9,395,1,South
7,5,5,7,494,1,East
6,4,4,6,593,1,East
4,2,2,4,692,1,East
4,2,4,4,791,1,South
2,0,2,2,890,1,South
8,6,6,8,1189,1,South
7,5,5,7,1288,1,South
7,5,5,7,1387,1,East
7,5,5,7,1486,1,East
6,5,5,7,1585,1,South
6,4,4,6,1684,1,South
4,99999,2,4,1683,2,East
2,99999,2,4,1682,3,North
4,2,2,4,1681,2,South
2,99999,2,4,1680,3,North
2,4,2,4,1679,2,North
2,4,2,4,1678,2,North
4,2,2,4,1677,2,South
2,4,2,4,1676,2,North
4,4,2,4,1675,2,East
2,2,0,2,1674,2,East
5,5,3,5,1873,1,East
5,3,3,5,1872,1,East
5,3,3,5,1971,1,East
5,3,3,5,2070,1,East
4,2,2,4,2169,1,East
4,2,4,2,2268,1,South
2,0,2,2,2367,1,South
8,10,8,10,2666,1,East
7,9,7,9,2765,1,East
7,9,7,9,2864,1,North
5,7,7,7,2963,1,North
5,7,7,5,2962,1,North
3,5,5,5,3061,1,North
3,5,3,5,3160,1,North
2,4,2,4,3159,1,North
99999,6,6,99999,0,14,South
7,5,99999,99999,-1,13,South
6,6,4,99999,-2,12,East
99999,5,3,5,-3,11,East
99999,4,2,4,-4,10,East
99999,3,1,3,-5,9,East
2,2,0,2,-6,8,East
3,5,5,5,193,7,North
2,4,99999,4,192,8,North
99999,3,1,3,191,9,East
