@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R6

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,9,7,9,668,12,East
8,8,6,8,667,11,East
7,7,5,7,666,10,East
6,6,4,6,665,9,East
99999,5,3,5,664,8,East
99999,99999,2,4,663,7,East
99999,3,1,3,662,6,East
99999,6,6,99999,0,14,Stop
99999,5,5,99999,-1,14,Stop
99999,6,4,99999,-2,14,Stop
99999,7,5,99999,-3,14,East
99999,99999,3,5,-4,13,East
99999,99999,1,3,-5,12,East
99999,99999,0,2,-6,11,East
99999,2,0,2,193,10,East
99999,11,11,13,392,9,East
99999,99999,9,11,391,8,East
99999,99999,9,11,390,7,East
99999,99999,7,9,389,6,East
99999,6,8,8,388,5,South
8,6,8,99999,387,4,South
8,6,8,8,386,3,South
6,4,99999,6,385,2,South
6,4,99999,6,384,1,South
5,3,99999,5,483,8,South
4,2,2,4,482,9,East
99999,2,4,2,481,8,South
2,2,99999,0,480,9,West
2,2,2,0,479,10,West
3,3,3,1,678,11,West
99999,99999,29,30,0,1,Stop
99999,99999,29,30,-1,1,East
28,99999,30,30,98,1,North
27,29,99999,99999,197,1,North
99999,28,26,99999,296,1,East
99999,99999,25,27,395,1,East
99999,99999,24,26,494,1,East
23,99999,99999,25,593,1,North
22,24,99999,99999,692,1,North
21,23,99999,99999,791,1,North
99999,22,20,22,890,1,East
99999,99999,19,21,989,1,East
99999,99999,18,20,1088,1,East
17,19,99999,19,1187,1,North
16,18,99999,99999,1286,1,North
15,17,99999,99999,1385,1,North
14,16,16,14,1484,1,North
13,15,99999,99999,1583,1,North
12,14,99999,99999,1682,1,North
11,13,99999,99999,1781,1,North
12,12,12,10,1880,1,West
99999,99999,11,9,1879,2,West
8,10,10,99999,1878,3,North
7,9,99999,99999,1877,2,North
99999,8,99999,6,1876,2,West
99999,99999,7,5,1875,3,West
99999,99999,6,4,1874,3,West
99999,99999,5,3,1873,3,West
4,99999,4,2,1872,3,West
99999,1,3,2,1871,4,South
2,0,99999,1,1870,5,West
2,0,1,99999,1869,5,Stop
2,0,1,99999,1868,5,South
