@RELATION 'training_newmap'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,-5,1,364,363,99999,East
0,0,1,1,1,-4,1,363,362,99999,East
0,0,1,1,1,-3,1,362,361,99999,East
0,0,1,1,1,-1,1,361,360,99999,East
0,1,1,1,1,-1,1,360,359,99999,East
0,1,1,1,1,0,1,359,358,99999,South
1,1,1,1,1,-1,0,358,557,99999,West
1,1,1,0,1,-2,1,557,556,99999,East
1,1,1,1,1,-1,1,556,555,99999,East
1,1,0,1,1,1,1,555,554,99999,West
1,1,1,1,1,-1,1,554,553,99999,East
1,1,0,1,1,-1,1,553,552,99999,South
1,0,1,1,1,-2,0,552,551,99999,East
0,0,1,1,1,-2,0,551,550,99999,East
0,0,1,1,1,-1,0,550,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,5,-1,-2,99999,East
0,1,1,1,1,0,5,-2,-3,99999,South
1,1,1,1,1,1,4,-3,-4,99999,South
1,1,1,1,1,1,2,-4,-5,99999,South
1,1,1,0,1,0,1,-5,194,99999,South
1,1,1,1,1,9,1,194,193,99999,West
0,1,1,1,1,8,1,193,192,99999,West
0,1,1,1,1,6,1,192,191,99999,West
0,1,1,1,1,5,1,191,190,99999,West
0,1,1,0,1,3,1,190,189,99999,South
1,1,1,0,1,3,0,189,188,99999,South
1,1,1,0,1,4,-1,188,187,99999,South
1,0,1,1,1,4,-3,187,186,99999,West
0,0,1,1,1,3,-2,186,185,99999,West
1,0,1,1,1,2,-1,185,184,99999,West
1,0,1,1,1,1,0,184,383,99999,West
1,0,1,1,1,-3,-10,383,382,99999,West
1,0,1,1,1,-4,-10,382,381,99999,West
1,0,1,1,1,-3,-9,381,380,99999,West
1,0,1,1,1,-7,-10,380,379,99999,North
1,1,1,1,1,-6,-9,379,378,99999,North
1,1,1,1,1,-5,-7,378,377,99999,North
1,1,1,1,1,-4,-6,377,376,99999,North
1,1,1,1,1,-6,-6,376,375,99999,North
1,1,1,1,1,-5,-5,375,374,99999,North
1,1,1,1,1,-6,-4,374,373,99999,North
1,1,1,1,1,-5,-3,373,372,99999,North
1,1,0,1,1,-5,-3,372,371,99999,North
1,1,0,1,1,-5,-2,371,370,99999,North
1,1,0,1,1,-4,-1,370,369,99999,North
0,1,1,1,1,-5,0,369,368,99999,East
0,0,1,1,1,-3,0,368,367,99999,East
0,0,1,1,1,-3,0,367,366,99999,East
0,0,1,1,1,-2,0,366,365,99999,East
0,0,1,1,1,-1,1,365,364,99999,East
0,1,1,1,1,-1,1,364,563,99999,East
0,1,1,1,1,-3,0,563,562,99999,East
0,1,1,1,1,-1,0,562,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,1,4,-1,-2,99999,East
0,1,1,1,1,2,4,-2,-3,99999,South
1,1,1,1,1,2,4,-3,-4,99999,South
1,1,1,1,1,3,3,-4,-5,99999,South
1,1,1,0,1,2,2,-5,-6,99999,South
1,1,1,1,1,2,2,-6,-7,99999,West
0,1,1,1,1,1,2,-7,-8,99999,West
0,1,1,1,1,-1,2,-8,-9,99999,East
0,1,1,1,1,0,3,-9,-10,99999,South
1,1,1,1,1,0,1,-10,189,99999,South
1,1,1,1,1,10,-2,189,188,99999,West
1,1,1,1,1,10,-2,188,187,99999,West
1,1,1,1,1,10,-2,187,186,99999,West
1,1,1,0,1,8,-2,186,185,99999,South
1,0,1,1,1,8,-3,185,184,99999,West
0,0,1,1,1,7,-2,184,183,99999,West
1,0,1,1,1,7,-2,183,182,99999,West
1,0,1,1,1,6,-3,182,181,99999,West
1,0,1,1,1,5,-2,181,180,99999,West
1,0,1,1,1,4,-2,180,179,99999,West
1,0,1,1,1,3,-2,179,178,99999,West
1,0,1,1,1,2,-2,178,177,99999,West
1,0,1,1,1,0,-2,177,376,99999,North
1,1,1,1,1,-8,-8,376,375,99999,East
1,1,1,1,1,-7,-9,375,374,99999,North
1,1,1,1,1,-7,-8,374,373,99999,North
1,1,1,1,1,-7,-8,373,372,99999,North
1,1,1,1,1,-7,-6,372,371,99999,North
1,1,1,1,1,-7,-5,371,370,99999,North
1,1,1,1,1,-6,-4,370,369,99999,North
1,1,1,1,1,-6,-4,369,368,99999,North
1,1,0,1,1,-6,-3,368,367,99999,North
1,1,0,1,1,-6,-2,367,366,99999,North
1,1,0,1,1,-6,0,366,365,99999,North
0,1,1,1,1,-5,1,365,364,99999,East
0,0,1,1,1,-5,1,364,363,99999,East
0,0,1,1,1,-4,1,363,362,99999,East
0,0,1,1,1,-3,2,362,361,99999,East
0,0,1,1,1,-2,2,361,360,99999,East
0,1,1,1,1,-1,1,360,559,99999,East
0,1,1,1,1,0,2,559,558,99999,South
1,1,1,1,1,0,1,558,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,4,-1,-2,99999,East
0,1,1,1,1,0,4,-2,-3,99999,South
1,1,1,1,1,0,2,-3,-4,99999,South
1,1,1,1,1,0,1,-4,195,99999,South
1,1,1,0,1,10,1,195,194,99999,North
1,1,1,1,1,10,1,194,193,99999,West
1,0,1,1,1,10,1,193,192,99999,West
0,0,1,1,1,10,1,192,191,99999,West
0,0,1,1,1,9,2,191,190,99999,West
0,0,1,1,1,8,2,190,189,99999,West
0,0,1,1,1,7,2,189,188,99999,West
0,0,1,1,1,6,3,188,187,99999,West
0,0,1,1,1,5,4,187,186,99999,West
0,0,1,1,1,4,4,186,185,99999,West
1,0,1,1,1,3,3,185,184,99999,West
1,1,1,1,1,1,3,184,183,99999,West
1,1,1,1,1,0,2,183,182,99999,South
1,1,1,1,1,0,2,182,181,99999,South
1,1,1,1,1,0,2,181,180,99999,South
1,1,1,1,1,0,2,180,179,99999,South
1,1,1,1,1,1,1,179,178,99999,West
1,1,1,1,1,1,1,178,177,99999,West
1,1,1,0,1,0,1,177,376,99999,South
1,0,1,0,1,-4,-11,376,375,99999,East
1,0,1,1,1,-4,-11,375,374,99999,East
1,0,1,1,1,-4,-11,374,373,99999,North
1,1,1,1,1,-5,-10,373,372,99999,North
1,1,1,1,1,-6,-9,372,371,99999,North
1,1,1,1,1,-5,-8,371,370,99999,North
1,1,1,1,1,-6,-7,370,369,99999,North
1,1,1,1,1,-6,-5,369,368,99999,North
1,1,1,1,1,-5,-4,368,367,99999,North
1,1,1,1,1,-5,-3,367,366,99999,North
1,1,0,1,1,-5,-1,366,365,99999,North
1,1,0,1,1,-5,-1,365,364,99999,North
1,1,0,1,1,-5,-1,364,363,99999,North
0,1,1,1,1,-4,0,363,362,99999,East
0,0,1,1,1,-3,0,362,361,99999,East
0,0,1,1,1,-1,0,361,560,99999,East
0,0,1,1,1,-2,0,560,559,99999,East
0,0,1,1,1,-2,0,559,558,99999,East
0,1,1,1,1,-1,0,558,557,99999,East
0,1,1,1,1,-1,0,557,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,1,4,-1,-2,99999,East
0,1,1,1,1,1,4,-2,-3,99999,South
1,1,1,1,1,0,3,-3,-4,99999,South
1,1,1,1,1,0,2,-4,-5,99999,South
1,1,1,0,1,0,1,-5,194,99999,South
1,1,1,1,1,9,3,194,193,99999,West
0,1,1,1,1,7,3,193,192,99999,West
0,1,1,1,1,7,3,192,191,99999,West
0,1,1,1,1,5,3,191,190,99999,West
0,1,1,0,1,4,3,190,189,99999,South
1,1,1,0,1,5,2,189,188,99999,South
1,1,1,0,1,5,1,188,187,99999,South
1,0,1,1,1,6,0,187,186,99999,West
0,0,1,1,1,5,0,186,185,99999,West
1,0,1,1,1,4,-1,185,184,99999,West
1,0,1,1,1,2,-1,184,183,99999,West
1,0,1,1,1,1,-1,183,182,99999,West
1,0,1,1,1,0,-1,182,381,99999,North
1,1,1,1,1,-3,-9,381,380,99999,West
1,1,1,1,1,-4,-9,380,379,99999,West
1,1,1,1,1,-6,-9,379,378,99999,North
1,1,1,1,1,-5,-8,378,377,99999,North
1,1,1,1,1,-6,-7,377,376,99999,North
1,1,1,1,1,-6,-7,376,375,99999,North
1,1,1,1,1,-7,-6,375,374,99999,North
1,1,1,1,1,-7,-4,374,373,99999,North
1,1,1,1,1,-7,-4,373,372,99999,North
1,1,0,1,1,-8,-3,372,371,99999,North
1,1,0,1,1,-8,-2,371,370,99999,North
1,1,0,1,1,-7,-1,370,369,99999,North
0,1,1,1,1,-5,2,369,368,99999,East
0,0,1,1,1,-3,2,368,367,99999,East
0,0,1,1,1,-1,2,367,366,99999,East
0,0,1,1,1,-1,2,366,365,99999,East
0,0,1,1,1,-2,1,365,364,99999,East
0,1,1,1,1,-1,0,364,563,99999,East
0,1,1,1,1,2,2,563,562,99999,West
0,1,1,1,1,1,2,562,561,99999,South
1,1,1,0,1,2,1,561,560,99999,South
1,0,1,1,1,2,0,560,559,99999,West
0,0,1,1,1,2,0,559,558,99999,West
0,0,1,1,1,1,0,558,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,-1,4,-1,-2,99999,East
0,1,1,1,1,0,4,-2,-3,99999,South
1,1,1,1,1,0,4,-3,-4,99999,South
1,1,1,1,1,-1,3,-4,-5,99999,East
1,1,1,1,1,-1,3,-5,-6,99999,East
1,1,1,1,1,1,3,-6,-7,99999,West
1,1,1,1,1,1,3,-7,-8,99999,West
1,1,1,1,1,1,3,-8,-9,99999,South
1,1,1,0,1,0,2,-9,-10,99999,South
1,1,1,1,1,-1,1,-10,-11,99999,East
1,1,1,1,1,-1,1,-11,-12,99999,East
1,1,1,1,1,0,2,-12,187,99999,South
1,1,1,1,1,10,-1,187,186,99999,West
1,1,1,1,1,8,-1,186,185,99999,West
1,1,1,1,1,7,0,185,184,99999,West
1,1,1,1,1,6,-1,184,183,99999,West
1,1,1,1,1,6,-1,183,182,99999,West
1,1,1,1,1,5,0,182,181,99999,West
1,1,1,0,1,4,0,181,180,99999,South
1,1,1,0,1,4,-1,180,179,99999,South
1,0,1,1,1,4,-1,179,178,99999,West
0,0,1,1,1,3,0,178,177,99999,West
1,0,1,1,1,2,-1,177,176,99999,West
1,0,1,1,1,1,-2,176,175,99999,West
1,0,1,1,1,0,-2,175,374,99999,North
1,1,1,1,1,-2,-8,374,373,99999,West
1,1,1,1,1,-3,-9,373,372,99999,West
1,1,1,1,1,-4,-10,372,371,99999,West
1,1,1,1,1,-5,-9,371,370,99999,North
1,1,1,1,1,-6,-8,370,369,99999,North
1,1,1,1,1,-7,-7,369,368,99999,North
1,1,1,1,1,-6,-6,368,367,99999,North
1,1,1,1,1,-6,-5,367,366,99999,North
1,1,1,1,1,-5,-4,366,365,99999,North
1,1,1,1,1,-6,-3,365,364,99999,North
1,1,0,1,1,-6,-1,364,363,99999,North
1,1,0,1,1,-7,0,363,362,99999,North
1,1,0,1,1,-8,1,362,361,99999,North
0,1,1,1,1,-7,2,361,360,99999,East
0,0,1,1,1,-5,2,360,359,99999,East
0,0,1,1,1,-5,1,359,358,99999,East
0,0,1,1,1,-3,2,358,357,99999,East
0,0,1,1,1,-3,1,357,356,99999,East
0,1,1,1,1,-2,2,356,355,99999,East
0,1,1,1,1,0,2,355,354,99999,South
1,1,1,1,1,-1,1,354,353,99999,East
1,1,0,1,1,0,1,353,552,99999,South
1,0,1,1,1,1,0,552,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,4,-1,-2,99999,East
0,1,1,1,1,2,4,-2,-3,99999,South
1,1,1,1,1,2,4,-3,-4,99999,South
1,1,1,1,1,3,3,-4,-5,99999,South
1,1,1,0,1,2,2,-5,-6,99999,South
1,1,1,1,1,2,2,-6,-7,99999,West
0,1,1,1,1,1,1,-7,-8,99999,West
0,1,1,1,1,1,1,-8,-9,99999,West
0,1,1,1,1,-1,1,-9,-10,99999,East
0,1,1,1,1,0,2,-10,-11,99999,South
1,1,1,1,1,0,1,-11,188,99999,South
1,1,1,1,1,5,-1,188,187,99999,West
1,1,1,1,1,4,0,187,186,99999,West
1,1,1,0,1,2,0,186,185,99999,South
1,0,1,1,1,2,-1,185,184,99999,West
0,0,1,1,1,1,0,184,383,99999,West
1,0,1,1,1,0,-10,383,382,99999,West
1,0,1,1,1,-1,-9,382,381,99999,West
1,0,1,1,1,-1,-9,381,380,99999,West
1,0,1,1,1,-1,-9,380,379,99999,West
1,0,1,1,1,-1,-9,379,378,99999,West
1,0,1,1,1,-7,-9,378,377,99999,North
1,1,1,1,1,-6,-8,377,376,99999,North
1,1,1,1,1,-6,-8,376,375,99999,North
1,1,1,1,1,-6,-7,375,374,99999,North
1,1,1,1,1,-5,-6,374,373,99999,North
1,1,1,1,1,-5,-5,373,372,99999,North
1,1,1,1,1,-5,-3,372,371,99999,North
1,1,1,1,1,-5,-2,371,370,99999,North
1,1,0,1,1,-6,-1,370,369,99999,North
1,1,0,1,1,-5,0,369,368,99999,North
1,1,0,1,1,-4,1,368,367,99999,North
0,1,1,1,1,-7,2,367,366,99999,East
0,0,1,1,1,-3,2,366,365,99999,East
0,0,1,1,1,-5,2,365,364,99999,East
0,0,1,1,1,-3,2,364,363,99999,East
0,0,1,1,1,-2,2,363,362,99999,East
0,1,1,1,1,-1,2,362,361,99999,East
0,1,1,1,1,0,2,361,360,99999,South
1,1,1,1,1,-1,1,360,359,99999,East
1,1,0,1,1,-1,1,359,358,99999,South
1,0,1,1,1,-2,0,358,557,99999,East
0,0,1,1,1,4,0,557,556,99999,West
1,0,1,1,1,3,0,556,555,99999,West
1,0,1,1,1,3,0,555,554,99999,West
1,0,1,1,1,2,0,554,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,5,-1,-2,99999,East
0,1,1,1,1,1,4,-2,-3,99999,South
1,1,1,1,1,1,3,-3,-4,99999,South
1,1,1,1,1,1,3,-4,-5,99999,South
1,1,1,0,1,1,1,-5,-6,99999,South
1,1,1,1,1,2,0,-6,193,99999,West
0,1,1,1,1,8,1,193,192,99999,West
