@relation training_allmaps-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
1,1,1,0,1,-5,8,-2,99999,South
1,1,1,0,1,-5,7,-3,99999,South
1,1,1,0,1,-5,7,-4,99999,South
1,1,0,0,1,-4,6,-5,99999,South
1,1,1,0,1,-4,6,-6,99999,South
1,1,0,0,1,-4,6,-7,99999,South
1,1,0,0,1,-4,5,-8,99999,South
1,1,0,0,1,-4,4,-9,99999,South
1,1,0,0,1,-4,2,-10,99999,South
1,1,0,0,1,-4,2,-11,99999,South
1,1,1,0,1,-4,1,-12,99999,East
0,1,1,1,1,-3,1,-13,99999,East
1,1,1,1,1,-1,1,-14,99999,East
1,1,1,1,1,0,2,-15,99999,South
1,1,1,1,1,0,1,-16,99999,South
1,1,1,1,1,-4,-1,183,99999,East
1,1,0,1,1,-3,-1,182,99999,North
1,1,0,1,1,-4,0,181,99999,North
1,1,1,1,1,-4,0,180,99999,East
1,0,1,1,1,-3,-1,179,99999,East
0,0,1,1,1,-1,-1,178,99999,East
1,1,1,1,1,-1,-1,177,99999,East
1,1,1,1,1,0,-1,176,99999,North
1,1,1,1,1,-11,3,375,99999,East
1,1,1,1,1,-14,-9,374,99999,East
1,1,0,1,1,-13,-8,373,99999,North
1,1,0,1,1,-14,-7,372,99999,North
1,1,0,1,1,-14,-7,371,99999,North
1,1,0,1,1,-14,-7,370,99999,North
1,1,0,1,1,-13,5,369,99999,North
0,1,1,1,1,-14,-5,368,99999,East
0,0,1,1,1,-13,-4,367,99999,East
0,1,1,1,1,-10,7,366,99999,East
1,1,1,1,1,-9,8,365,99999,East
0,1,1,1,1,-8,7,364,99999,East
0,1,1,1,1,-7,7,363,99999,East
1,1,1,1,1,-7,7,362,99999,East
1,1,1,1,1,-7,-5,361,99999,East
1,1,1,1,1,-6,-5,360,99999,East
1,1,0,1,1,-5,-5,359,99999,North
1,1,0,1,1,-5,-4,358,99999,North
1,1,0,1,1,-5,-3,357,99999,North
1,1,1,0,1,-5,-3,356,99999,East
1,0,1,1,1,-3,-3,355,99999,North
1,1,1,1,1,-4,-2,354,99999,East
0,1,1,1,1,-2,-2,353,99999,West
1,1,1,1,1,-4,-2,352,99999,East
0,1,1,1,1,-3,-1,351,99999,East
0,1,1,1,1,-2,-1,350,99999,East
0,1,1,1,1,-1,-1,349,99999,East
1,1,0,1,1,0,12,548,99999,West
0,1,1,1,1,-1,12,547,99999,West
0,1,1,1,1,-1,12,546,99999,West
0,1,1,1,1,-2,12,545,99999,West
1,1,1,1,1,-3,11,544,99999,West
1,1,1,0,1,-4,11,543,99999,South
1,1,1,0,1,-4,9,542,99999,South
1,1,0,1,1,-4,8,541,99999,South
1,1,0,1,1,-3,7,540,99999,South
1,1,0,1,1,-2,6,539,99999,South
1,1,0,1,1,-2,5,538,99999,South
1,0,1,1,1,-2,4,537,99999,East
0,0,1,1,1,-1,4,536,99999,East
1,0,1,1,1,1,4,535,99999,East
1,1,1,1,1,2,4,534,99999,South
1,1,1,0,1,2,3,533,99999,South
1,1,1,1,1,3,2,532,99999,South
1,1,1,0,1,4,1,531,99999,South
1,1,1,1,1,4,1,530,99999,West
0,0,1,1,1,4,1,529,99999,West
0,0,1,1,1,4,1,528,99999,West
0,1,1,1,1,3,2,527,99999,West
0,1,1,1,1,3,2,526,99999,West
0,1,1,1,1,1,2,525,99999,West
0,1,1,1,1,1,2,524,99999,South
0,0,1,1,1,0,-12,0,99999,East
1,0,1,1,1,1,-12,-1,99999,North
