@RELATION 'filter_data_pacman_manual1'

@ATTRIBUTE pacPosX NUMERIC
@ATTRIBUTE pacPosY NUMERIC
@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE ghostPosX1 NUMERIC
@ATTRIBUTE ghostPosY1 NUMERIC
@ATTRIBUTE ghostPosX2 NUMERIC
@ATTRIBUTE ghostPosY2 NUMERIC
@ATTRIBUTE ghostPosX3 NUMERIC
@ATTRIBUTE ghostPosY3 NUMERIC
@ATTRIBUTE ghostPosX4 NUMERIC
@ATTRIBUTE ghostPosY4 NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
8,11,0,0,1,1,1,7,4,3,1,5,1,15,4,West
7,11,0,0,1,1,1,7,5,3,1,5,1,15,3,West
6,11,0,1,1,1,1,6,5,3,1,5,1,15,3,West
6,10,1,1,0,1,1,5,5,3,1,5,1,15,4,South
6,9,1,1,1,1,1,5,4,3,1,5,1,15,3,South
6,8,1,1,1,1,1,5,4,3,1,5,1,15,3,South
7,8,1,1,1,1,1,4,4,3,1,5,1,15,4,East
8,8,1,1,1,1,1,4,3,3,1,5,1,15,4,East
8,7,1,1,1,1,1,4,3,3,1,5,1,15,4,South
8,6,1,1,1,0,1,3,3,3,1,5,1,15,4,South
8,5,1,1,1,1,1,2,3,3,1,5,1,15,3,South
8,4,1,1,1,1,1,3,3,3,1,5,1,15,4,South
7,4,1,1,1,1,1,3,4,3,1,5,1,15,4,West
6,4,1,1,1,1,1,3,4,3,1,5,1,15,5,West
5,4,1,1,1,1,1,3,4,3,1,5,1,14,5,West
4,4,1,1,1,1,1,3,5,3,1,5,1,14,4,West
3,4,1,1,1,1,1,1,1,3,1,5,1,13,4,West
2,4,1,1,1,1,1,1,1,3,1,5,1,14,4,West
3,4,1,1,1,1,1,1,1,3,1,5,1,14,4,East
4,4,1,1,1,1,1,1,1,3,1,5,1,14,5,East
5,4,1,1,1,1,1,1,1,3,1,5,1,14,6,East
6,4,1,1,1,1,1,1,1,3,1,5,1,14,5,East
7,4,1,1,1,1,1,1,1,3,1,5,1,13,5,East
8,4,1,1,1,1,1,1,1,3,1,5,1,13,5,East
9,4,1,1,1,1,1,1,1,3,1,5,1,12,5,East
10,4,1,1,1,1,1,1,1,3,1,5,1,13,5,East
11,4,1,1,0,1,1,1,1,3,1,5,1,14,5,East
11,5,0,1,1,1,1,1,1,3,1,5,1,14,6,North
12,5,0,0,1,1,1,1,1,3,1,5,1,14,7,East
13,5,0,1,1,1,1,1,1,3,1,5,1,15,7,East
14,5,1,1,1,1,1,1,1,3,1,5,1,16,7,East
14,6,1,1,0,0,1,1,1,3,1,5,1,15,7,North
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,4,6,9,7,11,14,6,Stop
1,11,0,1,1,0,1,6,4,7,9,8,11,14,7,Stop
2,11,0,0,1,1,1,7,4,8,9,9,11,14,8,East
3,11,0,0,1,1,1,7,5,9,9,8,11,13,8,East
4,11,0,0,1,1,1,6,5,9,9,9,11,13,9,East
5,11,0,1,1,1,1,6,4,9,9,10,11,12,9,East
6,11,0,1,1,1,1,5,4,9,8,10,11,12,9,East
7,11,0,0,1,1,1,4,4,9,9,9,11,13,9,East
8,11,0,0,1,1,1,5,4,9,8,10,11,14,9,East
9,11,0,0,1,1,1,5,5,9,7,11,11,13,9,East
10,11,0,1,1,1,1,4,5,9,6,11,10,14,9,East
10,10,1,1,1,0,1,4,4,10,6,11,10,15,9,South
10,9,1,1,1,1,1,5,4,10,6,11,9,15,8,South
10,8,1,1,0,1,1,5,3,10,6,11,10,15,7,South
10,7,1,1,0,1,1,5,4,3,1,11,10,16,7,South
10,6,1,1,0,1,1,4,4,3,1,11,11,15,7,South
10,5,1,1,1,1,1,3,4,3,1,12,11,15,7,South
11,5,0,1,1,1,1,3,4,3,1,12,11,14,7,East
12,5,0,0,1,1,1,2,4,3,1,12,11,14,8,East
13,5,0,1,1,1,1,2,4,3,1,12,11,15,8,East
14,5,1,1,1,1,1,2,3,3,1,11,11,16,8,East
14,6,1,1,0,0,1,3,3,3,1,11,10,16,8,North
14,7,1,1,1,1,1,3,3,3,1,11,10,16,8,North
15,7,1,0,1,1,1,2,3,3,1,11,9,17,8,East
16,7,1,0,1,1,1,2,4,3,1,10,9,16,8,East
17,7,1,0,1,1,1,2,5,3,1,10,9,17,8,East
17,8,1,1,1,1,1,2,5,3,1,10,9,18,8,North
17,9,0,1,1,1,1,1,5,3,1,10,8,18,8,North
16,9,0,1,1,1,1,1,5,3,1,9,8,17,8,West
17,9,0,1,1,1,1,1,4,3,1,9,7,17,7,East
18,9,1,1,0,1,1,1,4,3,1,8,7,17,7,East
18,9,1,1,0,1,1,1,3,3,1,9,7,16,7,East
18,8,1,1,0,1,1,2,3,3,1,9,7,17,7,South
18,7,1,1,0,1,1,1,3,3,1,9,8,17,7,South
17,7,1,0,1,1,1,2,3,3,1,9,7,16,7,West
16,7,1,0,1,1,1,2,4,3,1,9,7,7,1,West
