@RELATION 'training_tutorial1_score5'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
10,12,10,12,2374,2569,2,North
9,11,9,11,2373,2568,1,North
8,10,8,10,2472,2567,1,North
7,9,7,9,2571,2566,1,North
99999,8,6,8,2570,2665,2,East
99999,7,5,7,2569,2764,3,East
99999,6,4,6,2568,2963,2,East
99999,5,3,5,2567,3062,1,East
99999,4,2,4,2566,3161,1,East
99999,3,1,3,2665,3260,1,East
99999,2,0,2,2764,3359,2,East
99999,5,5,7,2963,3458,1,East
99999,11,11,13,0,395,2,South
13,11,11,13,-1,494,1,East
11,9,9,11,98,593,1,East
10,8,8,10,197,692,1,East
9,7,7,9,296,791,1,South
8,6,6,8,395,890,1,South
6,4,6,6,494,889,1,South
6,4,6,4,593,988,1,West
6,4,6,6,692,1087,1,South
6,4,6,4,791,1386,1,West
5,3,5,5,890,1485,1,South
5,3,3,5,889,1584,1,South
3,1,1,3,988,1683,1,East
2,0,2,2,1087,1782,1,South
10,12,10,12,1386,1881,1,East
8,10,8,10,1485,1980,1,North
6,8,6,8,1584,2079,1,North
8,8,6,8,1683,2078,1,East
8,8,6,8,1782,2077,1,East
6,8,6,8,1881,2076,1,East
6,8,6,8,1980,2175,1,North
8,6,6,8,2079,2174,1,South
6,6,4,6,2078,2173,1,East
6,6,4,6,2077,2272,1,East
4,6,4,6,2076,2571,1,North
4,4,2,4,2175,2670,1,East
4,4,2,4,2174,2769,2,East
3,3,1,3,2173,2968,1,East
3,1,1,3,2272,2967,1,East
3,5,3,5,2571,3066,1,East
3,5,3,5,2670,3165,1,North
3,3,1,3,2769,3264,1,East
9,7,7,9,2968,3263,1,South
99999,6,6,99999,0,-5,14,South
7,5,99999,99999,-1,-6,13,South
6,6,4,99999,-2,193,12,East
99999,5,3,5,-3,192,11,East
99999,4,2,4,-4,191,10,East
99999,3,1,3,-5,190,9,East
2,2,0,2,-6,389,8,East
3,5,5,5,193,388,7,North
2,4,99999,4,192,387,8,North
99999,3,1,3,191,386,9,East
99999,99999,0,2,190,385,8,East
99999,99999,10,11,389,384,7,East
99999,99999,9,11,388,383,6,East
99999,8,8,10,387,382,5,South
9,7,7,99999,386,381,4,South
8,7,6,7,385,380,3,East
7,99999,5,7,384,379,4,East
99999,4,4,6,383,578,3,South
5,3,3,99999,382,577,4,South
4,99999,2,99999,381,576,3,East
3,99999,1,3,380,575,4,East
2,0,2,2,379,574,3,South
10,8,99999,99999,578,573,4,South
9,9,9,7,577,572,5,West
99999,8,8,6,576,571,4,West
99999,99999,7,5,575,570,3,West
99999,6,6,99999,0,-5,14,South
7,5,99999,99999,-1,-6,13,South
5,5,3,99999,-2,393,12,East
99999,4,2,4,-3,392,11,East
99999,4,2,4,-4,391,10,East
99999,4,2,4,-5,390,9,East
0,2,2,2,-6,389,8,North
12,10,10,99999,393,388,9,South
12,10,10,12,392,387,8,South
10,8,8,10,391,386,7,South
9,99999,7,9,390,385,6,East
9,99999,7,9,389,384,5,East
7,99999,5,7,388,383,4,East
7,5,7,7,387,382,3,South
6,4,6,99999,386,381,2,South
6,4,6,4,385,580,3,South
6,4,6,4,384,579,4,South
5,99999,5,3,383,578,5,West
4,99999,4,2,382,577,6,West
3,99999,3,1,381,576,7,West
15,99999,15,17,580,575,8,North
15,17,15,17,579,574,7,North
99999,15,13,15,578,573,6,East
99999,15,13,15,577,572,5,East
99999,15,13,15,576,571,4,East
11,13,11,13,575,570,3,North
10,12,10,99999,574,569,2,North
8,10,8,10,573,568,3,North
6,8,6,8,572,567,4,North
99999,8,6,8,571,566,5,East
99999,8,6,8,570,565,4,East
7,7,5,7,569,564,3,East
7,99999,5,7,568,563,4,East
99999,3,3,5,567,562,3,South
3,5,3,99999,566,561,4,North
99999,5,3,5,565,560,3,East
99999,99999,29,30,0,495,1,East
28,99999,30,30,99,594,1,North
27,29,99999,99999,198,693,1,North
99999,28,26,99999,297,792,1,East
99999,99999,25,27,396,891,1,East
99999,99999,24,26,495,990,1,East
23,99999,99999,25,594,1089,1,North
22,24,99999,99999,693,1188,1,North
21,23,99999,99999,792,1287,1,North
99999,22,20,22,891,1386,1,East
99999,99999,19,21,990,1485,1,East
99999,99999,18,20,1089,1584,1,East
17,19,99999,19,1188,1683,1,North
16,18,99999,99999,1287,1682,1,North
15,17,99999,99999,1386,1681,1,North
14,16,16,14,1485,1680,1,West
99999,99999,15,13,1584,1679,1,West
12,99999,14,14,1683,1678,1,North
11,13,99999,99999,1682,1677,2,North
10,12,99999,12,1681,1676,2,North
9,11,99999,99999,1680,1675,2,North
8,10,10,99999,1679,1674,2,North
7,9,99999,99999,1678,1673,2,North
99999,8,99999,6,1677,1672,2,West
99999,99999,7,5,1676,1671,3,West
99999,99999,6,4,1675,1870,3,West
99999,99999,5,3,1674,2069,3,West
4,99999,4,2,1673,2068,3,West
99999,1,3,2,1672,2067,4,South
2,0,99999,1,1671,2266,5,South
2,99999,2,0,1870,2265,5,West
4,99999,3,2,2069,2264,5,West
99999,99999,3,1,2068,2263,4,West
