@RELATION 'training_allmaps'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,10,8,10,364,363,99999,East
99999,99999,8,10,363,362,99999,East
99999,6,6,8,362,361,99999,South
6,4,4,99999,361,360,99999,South
4,2,2,99999,360,359,99999,South
3,1,1,99999,359,558,99999,South
16,18,16,99999,558,557,99999,North
14,16,14,99999,557,556,99999,North
13,15,13,99999,556,555,99999,North
13,15,13,99999,555,554,99999,North
99999,13,11,13,554,553,99999,East
11,13,11,13,553,552,99999,North
9,11,99999,99999,552,551,99999,North
9,9,7,9,551,550,99999,East
9,99999,7,9,550,549,99999,East
8,99999,6,8,549,548,99999,East
8,8,6,8,548,547,99999,East
99999,8,6,8,547,546,99999,East
99999,6,4,6,546,545,99999,East
4,6,99999,6,545,544,99999,North
3,5,3,99999,544,543,99999,North
99999,99999,29,30,0,-1,99999,East
28,99999,30,30,-1,-2,99999,North
27,29,99999,99999,-2,-3,99999,North
99999,28,26,99999,-3,-4,99999,East
99999,99999,25,27,-4,-5,99999,East
99999,99999,24,26,-5,-6,99999,East
23,99999,99999,25,-6,-7,99999,North
22,24,99999,99999,-7,-8,99999,North
21,23,99999,99999,-8,-9,99999,North
99999,22,20,22,-9,-10,99999,East
99999,99999,19,21,-10,-11,99999,East
99999,99999,18,20,-11,-12,99999,East
17,19,99999,19,-12,-13,99999,North
16,18,99999,99999,-13,-14,99999,North
15,17,99999,99999,-14,-15,99999,North
14,16,16,14,-15,-16,99999,North
13,15,99999,99999,-16,-17,99999,North
12,14,99999,99999,-17,-18,99999,North
11,13,99999,99999,-18,-19,99999,North
12,12,12,10,-19,-20,99999,West
99999,99999,11,9,-20,-21,99999,West
8,10,10,99999,-21,-22,99999,North
7,9,99999,99999,-22,-23,99999,North
99999,8,99999,6,-23,-24,99999,West
99999,99999,7,5,-24,-25,99999,West
99999,99999,6,4,-25,-26,99999,West
99999,99999,5,3,-26,-27,99999,West
4,99999,4,2,-27,-28,99999,West
99999,1,3,2,-28,-29,99999,South
2,0,99999,1,-29,170,99999,South
2,99999,2,0,170,369,99999,West
4,99999,3,2,369,368,99999,West
99999,99999,3,1,368,367,99999,West
99999,99999,2,0,367,566,99999,West
99999,99999,6,99999,566,565,99999,East
99999,99999,5,7,565,564,99999,East
99999,99999,4,6,564,563,99999,East
5,99999,3,5,563,562,99999,East
4,99999,2,4,562,561,99999,East
99999,99999,1,3,561,560,99999,East
99999,99999,29,30,0,-1,99999,East
27,99999,29,29,-1,-2,99999,North
25,27,99999,99999,-2,-3,99999,North
99999,27,25,99999,-3,-4,99999,East
99999,99999,23,25,-4,-5,99999,East
99999,99999,23,25,-5,-6,99999,East
22,99999,99999,24,-6,-7,99999,North
20,22,99999,99999,-7,-8,99999,North
18,20,99999,99999,-8,-9,99999,North
99999,20,18,20,-9,-10,99999,East
99999,99999,18,20,-10,-11,99999,East
99999,99999,17,19,-11,-12,99999,East
17,19,99999,19,-12,-13,99999,North
15,17,99999,99999,-13,-14,99999,North
15,17,99999,99999,-14,-15,99999,North
15,17,17,15,-15,-16,99999,North
14,16,99999,99999,-16,-17,99999,North
12,14,99999,99999,-17,-18,99999,North
12,14,99999,99999,-18,-19,99999,North
10,12,12,11,-19,-20,99999,North
8,10,99999,99999,-20,-21,99999,North
6,8,99999,99999,-21,-22,99999,North
5,7,99999,99999,-22,-23,99999,North
