@RELATION 'all_data_pacman'

@ATTRIBUTE pacPosX NUMERIC
@ATTRIBUTE pacPosY NUMERIC
@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE ghostPosX1 NUMERIC
@ATTRIBUTE ghostPosY1 NUMERIC
@ATTRIBUTE ghostPosX2 NUMERIC
@ATTRIBUTE ghostPosY2 NUMERIC
@ATTRIBUTE ghostPosX3 NUMERIC
@ATTRIBUTE ghostPosY3 NUMERIC
@ATTRIBUTE ghostPosX4 NUMERIC
@ATTRIBUTE ghostPosY4 NUMERIC
@ATTRIBUTE LivingGhost1 {0,1}
@ATTRIBUTE LivingGhost2 {0,1}
@ATTRIBUTE LivingGhost3 {0,1}
@ATTRIBUTE LivingGhost4 {0,1}
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
6,9,1,1,1,1,1,5,4,3,1,5,1,15,3,1,0,0,1,South
6,8,1,1,1,1,1,5,4,3,1,5,1,15,3,1,0,0,1,South
7,8,1,1,1,1,1,4,4,3,1,5,1,15,4,1,0,0,1,East
8,8,1,1,1,1,1,4,3,3,1,5,1,15,4,1,0,0,1,East
8,7,1,1,1,1,1,4,3,3,1,5,1,15,4,1,0,0,1,South
8,6,1,1,1,0,1,3,3,3,1,5,1,15,4,1,0,0,1,South
8,5,1,1,1,1,1,2,3,3,1,5,1,15,3,1,0,0,1,South
8,4,1,1,1,1,1,3,3,3,1,5,1,15,4,1,0,0,1,South
7,4,1,1,1,1,1,3,4,3,1,5,1,15,4,1,0,0,1,West
6,4,1,1,1,1,1,3,4,3,1,5,1,15,5,1,0,0,1,West
5,4,1,1,1,1,1,3,4,3,1,5,1,14,5,1,0,0,1,West
4,4,1,1,1,1,1,3,5,3,1,5,1,14,4,1,0,0,1,West
3,4,1,1,1,1,1,1,1,3,1,5,1,13,4,0,0,0,1,West
2,4,1,1,1,1,1,1,1,3,1,5,1,14,4,0,0,0,1,West
3,4,1,1,1,1,1,1,1,3,1,5,1,14,4,0,0,0,1,East
4,4,1,1,1,1,1,1,1,3,1,5,1,14,5,0,0,0,1,East
5,4,1,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,1,East
6,4,1,1,1,1,1,1,1,3,1,5,1,14,5,0,0,0,1,East
7,4,1,1,1,1,1,1,1,3,1,5,1,13,5,0,0,0,1,East
8,4,1,1,1,1,1,1,1,3,1,5,1,13,5,0,0,0,1,East
9,4,1,1,1,1,1,1,1,3,1,5,1,12,5,0,0,0,1,East
10,4,1,1,1,1,1,1,1,3,1,5,1,13,5,0,0,0,1,East
11,4,1,1,0,1,1,1,1,3,1,5,1,14,5,0,0,0,1,East
11,5,0,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,1,North
