@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
1,1,1,1,1,-7,1,572,11,East
1,1,1,1,1,-6,0,571,10,East
1,1,1,1,1,-5,1,570,9,East
1,1,1,1,1,-3,1,569,8,East
1,1,1,1,1,-2,2,568,7,East
1,1,1,1,1,-1,2,567,6,East
1,1,1,1,1,1,2,566,5,West
0,1,1,1,1,-7,5,0,2,South
1,1,1,1,1,-7,4,-1,1,East
1,1,1,1,1,-6,4,98,1,South
1,1,1,1,1,-6,3,197,1,East
1,1,1,1,1,-5,3,296,1,East
1,1,1,1,1,-4,3,395,1,South
1,1,1,1,1,-4,2,494,1,South
1,1,1,1,1,-4,1,593,1,South
1,1,1,1,1,-4,0,692,1,East
1,1,1,1,1,-3,0,691,1,East
1,1,1,1,1,-2,0,690,1,East
1,1,1,1,1,-1,0,789,1,East
1,1,1,1,1,2,4,988,1,West
1,1,1,1,1,1,4,987,1,South
1,1,1,1,1,1,3,1086,1,South
1,1,1,1,1,1,2,1185,1,South
1,1,1,1,1,1,1,1284,1,South
1,0,1,1,1,1,0,1383,2,West
1,0,1,1,1,-10,-9,1582,1,East
1,0,1,1,1,-9,-9,1581,2,North
1,1,1,1,1,-9,-8,1580,1,East
1,1,1,1,1,-8,-8,1679,1,North
1,1,1,1,1,-8,-7,1778,1,East
1,1,1,1,1,-7,-7,1877,1,East
1,1,1,1,1,-6,-7,1876,2,East
1,1,1,1,1,-5,-7,1875,1,East
1,1,1,1,1,-4,-7,1974,1,East
1,1,1,1,1,-3,-7,2073,1,East
1,1,1,1,1,-2,-7,2172,1,North
1,1,1,1,1,-2,-6,2271,1,North
1,1,1,1,1,-2,-5,2370,1,North
1,1,1,1,1,-2,-4,2469,1,North
1,1,1,1,1,-2,-3,2568,1,North
1,1,1,1,1,-2,-2,2667,1,North
1,1,1,1,1,-2,-1,2766,1,North
0,1,1,1,1,-2,0,2865,1,East
0,1,1,1,1,-1,0,2964,2,East
0,1,1,1,1,-3,3,3163,1,East
0,1,1,1,1,-2,3,3262,1,South
1,1,1,1,1,-2,2,3361,1,South
1,1,1,1,1,-2,1,3460,1,South
1,1,1,1,1,-2,0,3559,1,East
0,1,1,1,1,-7,5,0,2,South
1,1,1,1,1,-7,4,-1,1,East
1,1,1,1,1,-5,4,98,1,South
1,1,1,1,1,-6,3,197,1,East
1,1,1,1,1,-4,3,296,1,East
1,1,1,1,1,-3,3,395,1,South
1,1,1,1,1,-2,2,494,1,South
1,1,1,1,1,-1,1,593,1,South
1,1,1,1,1,-1,0,692,1,East
1,1,1,1,1,-1,3,891,1,South
1,1,1,1,1,-1,3,990,1,East
1,1,1,1,1,0,2,1089,1,South
1,1,1,1,1,1,1,1088,1,West
1,1,1,1,1,1,1,1087,1,West
1,1,1,1,1,-1,1,1186,1,South
1,1,1,1,1,-1,0,1285,1,East
1,1,1,1,1,-15,-1,1484,1,East
1,1,1,1,1,-14,0,1483,1,East
1,1,1,1,1,-12,0,1582,1,East
1,1,1,1,1,-10,0,1681,1,East
1,1,1,1,1,-9,0,1780,1,East
1,1,1,1,1,-7,0,1779,2,East
1,1,1,1,1,-6,-1,1778,1,East
1,1,1,1,1,-5,-1,1877,1,North
1,1,1,1,1,-5,1,1976,1,East
1,1,1,1,1,-4,1,2075,1,South
1,1,1,1,1,-4,-1,2174,1,East
1,1,1,1,1,-3,-2,2273,1,North
1,1,1,1,1,-3,-1,2372,1,North
1,1,1,1,1,-3,0,2471,1,East
1,1,1,1,1,-2,-1,2570,1,East
1,1,1,1,1,-1,-2,2669,1,East
1,1,1,1,1,0,-2,2768,1,North
1,1,1,1,1,0,-2,2867,1,North
1,1,1,1,1,4,-4,3166,1,North
1,1,1,1,1,5,-3,3265,1,North
1,1,1,1,1,4,-2,3364,1,North
1,1,1,1,1,3,-1,3463,1,North
0,1,1,1,1,4,0,3562,2,West
0,1,1,1,1,3,1,3561,1,West
0,1,1,1,1,3,1,3660,1,West
0,1,1,1,1,3,1,3759,1,South
1,1,1,1,1,2,0,3858,1,West
1,1,1,1,1,1,-1,3957,1,West
0,1,1,0,1,-5,2,0,14,South
1,1,0,0,1,-5,1,-1,13,South
