@RELATION 'training_tutorial1'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
5,3,3,5,692,791,1,East
4,2,2,4,791,890,1,South
3,1,1,3,890,989,1,East
2,0,2,2,989,1188,1,South
7,5,7,5,1188,1287,1,West
6,4,6,4,1287,1386,1,South
5,3,5,3,1386,1485,1,West
4,2,4,4,1485,1484,1,South
3,1,3,3,1484,1483,1,South
2,0,2,2,1483,1682,1,South
18,99999,18,20,1682,1781,1,East
17,99999,17,19,1781,1880,1,North
16,18,16,18,1880,1979,1,East
15,17,15,17,1979,2078,1,East
14,16,14,16,2078,2177,1,North
13,15,13,15,2177,2176,1,North
12,14,12,14,2176,2275,1,North
11,13,11,13,2275,2374,1,North
10,12,10,12,2374,2373,2,North
9,11,9,11,2373,2472,1,North
8,10,8,10,2472,2571,1,North
7,9,7,9,2571,2570,1,North
99999,8,6,8,2570,2569,2,East
99999,7,5,7,2569,2568,3,East
99999,6,4,6,2568,2567,2,East
99999,5,3,5,2567,2566,1,East
99999,4,2,4,2566,2665,1,East
99999,3,1,3,2665,2764,1,East
99999,2,0,2,2764,2963,2,East
99999,5,5,7,2963,3062,1,East
99999,4,4,6,3062,3161,1,South
5,3,3,5,3161,3260,1,East
4,2,2,4,3260,3359,1,East
3,1,3,3,3359,3458,1,South
99999,11,11,13,0,-1,2,South
12,10,10,12,-1,98,1,East
12,10,10,12,98,197,1,East
11,9,9,11,197,296,1,East
9,7,7,9,296,395,1,South
9,7,7,9,395,494,1,South
7,5,5,7,494,593,1,East
6,4,4,6,593,692,1,East
4,2,2,4,692,791,1,East
4,2,4,4,791,890,1,South
2,0,2,2,890,1189,1,South
8,6,6,8,1189,1288,1,South
7,5,5,7,1288,1387,1,South
7,5,5,7,1387,1486,1,East
7,5,5,7,1486,1585,1,East
6,5,5,7,1585,1684,1,South
6,4,4,6,1684,1683,1,South
4,99999,2,4,1683,1682,2,East
2,99999,2,4,1682,1681,3,North
4,2,2,4,1681,1680,2,South
2,99999,2,4,1680,1679,3,North
2,4,2,4,1679,1678,2,North
2,4,2,4,1678,1677,2,North
4,2,2,4,1677,1676,2,South
2,4,2,4,1676,1675,2,North
4,4,2,4,1675,1674,2,East
2,2,0,2,1674,1873,2,East
5,5,3,5,1873,1872,1,East
5,3,3,5,1872,1971,1,East
5,3,3,5,1971,2070,1,East
5,3,3,5,2070,2169,1,East
4,2,2,4,2169,2268,1,East
4,2,4,2,2268,2367,1,South
2,0,2,2,2367,2666,1,South
8,10,8,10,2666,2765,1,East
7,9,7,9,2765,2864,1,East
7,9,7,9,2864,2963,1,North
5,7,7,7,2963,2962,1,North
5,7,7,5,2962,3061,1,North
3,5,5,5,3061,3160,1,North
3,5,3,5,3160,3159,1,North
2,4,2,4,3159,3258,1,North
99999,6,6,99999,0,-1,14,South
7,5,99999,99999,-1,-2,13,South
6,6,4,99999,-2,-3,12,East
99999,5,3,5,-3,-4,11,East
99999,4,2,4,-4,-5,10,East
99999,3,1,3,-5,-6,9,East
2,2,0,2,-6,193,8,East
3,5,5,5,193,192,7,North
2,4,99999,4,192,191,8,North
99999,3,1,3,191,190,9,East
99999,99999,0,2,190,389,8,East
99999,99999,10,11,389,388,7,East
99999,99999,9,11,388,387,6,East
99999,8,8,10,387,386,5,South
9,7,7,99999,386,385,4,South
8,7,6,7,385,384,3,East
7,99999,5,7,384,383,4,East
99999,4,4,6,383,382,3,South
5,3,3,99999,382,381,4,South
4,99999,2,99999,381,380,3,East
3,99999,1,3,380,379,4,East
2,0,2,2,379,578,3,South
10,8,99999,99999,578,577,4,South
9,9,9,7,577,576,5,West
99999,8,8,6,576,575,4,West
99999,99999,7,5,575,574,3,West
99999,6,6,4,574,573,2,West
5,5,5,3,573,572,1,West
4,4,4,2,572,571,2,West
3,3,3,1,571,570,3,West
99999,6,6,99999,0,-1,14,South
6,6,99999,99999,-1,-2,13,North
99999,7,5,99999,-2,-3,14,East
99999,99999,5,7,-3,-4,13,East
99999,99999,4,6,-4,-5,12,East
99999,99999,3,5,-5,-6,11,East
99999,3,1,3,-6,193,10,East
99999,4,6,6,193,192,9,South
4,2,99999,4,192,191,8,South
4,2,2,4,191,190,7,South
4,4,2,4,190,189,6,East
2,4,2,4,189,188,5,North
99999,2,2,4,188,187,6,South
2,4,2,4,187,186,5,North
99999,2,2,4,186,185,6,South
4,4,2,4,185,184,5,East
2,2,0,2,184,383,4,East
10,8,8,8,383,382,3,South
9,7,7,8,382,381,2,South
9,7,7,7,381,480,1,East
8,6,99999,8,480,479,8,South
6,6,4,6,479,478,9,East
99999,6,4,6,478,477,8,East
99999,99999,4,6,477,476,7,East
99999,4,4,6,476,475,6,South
6,4,4,99999,475,474,7,South
4,99999,4,99999,474,473,8,North
6,4,4,99999,473,472,7,South
4,99999,2,99999,472,471,8,East
2,99999,2,4,471,470,7,North
4,2,2,4,470,669,6,South
15,99999,17,15,669,668,7,North
15,17,17,15,668,667,6,North
15,15,15,13,667,666,5,West
99999,15,15,13,666,665,6,West
99999,99999,14,12,665,664,7,West
99999,10,12,10,664,663,8,South
10,8,99999,8,663,662,9,South
10,99999,99999,8,662,661,10,West
10,99999,10,8,661,660,11,West
8,99999,8,6,660,659,12,West
7,99999,7,5,659,658,13,West
5,99999,5,3,658,657,14,West
3,99999,3,1,657,656,15,West
1,99999,3,1,656,655,16,North
1,3,3,1,655,654,15,North
99999,99999,29,30,0,99,1,East
28,99999,30,30,99,198,1,North
27,29,99999,99999,198,297,1,North
99999,28,26,99999,297,396,1,East
99999,99999,25,27,396,495,1,East
99999,99999,24,26,495,594,1,East
23,99999,99999,25,594,693,1,North
22,24,99999,99999,693,792,1,North
21,23,99999,99999,792,891,1,North
99999,22,20,22,891,990,1,East
99999,99999,19,21,990,1089,1,East
99999,99999,18,20,1089,1188,1,East
17,19,99999,19,1188,1287,1,North
16,18,99999,99999,1287,1386,1,North
15,17,99999,99999,1386,1485,1,North
14,16,16,14,1485,1584,1,West
99999,99999,15,13,1584,1683,1,West
12,99999,14,14,1683,1682,1,North
11,13,99999,99999,1682,1681,2,North
10,12,99999,12,1681,1680,2,North
9,11,99999,99999,1680,1679,2,North
8,10,10,99999,1679,1678,2,North
7,9,99999,99999,1678,1677,2,North
99999,8,99999,6,1677,1676,2,West
99999,99999,7,5,1676,1675,3,West
99999,99999,6,4,1675,1674,3,West
99999,99999,5,3,1674,1673,3,West
4,99999,4,2,1673,1672,3,West
99999,1,3,2,1672,1671,4,South
2,0,99999,1,1671,1870,5,South
2,99999,2,0,1870,2069,5,West
4,99999,3,2,2069,2068,5,West
99999,99999,3,1,2068,2067,4,West
99999,99999,2,0,2067,2266,4,West
99999,99999,6,99999,2266,2265,4,East
99999,99999,5,7,2265,2264,4,East
99999,99999,4,6,2264,2263,4,East
5,99999,3,5,2263,2262,5,East
4,99999,2,4,2262,2261,5,East
99999,99999,1,3,2261,2260,4,East
99999,99999,29,30,0,99,1,East
28,99999,30,30,99,198,1,North
28,30,99999,99999,198,297,1,North
99999,29,27,99999,297,396,1,East
99999,99999,27,29,396,495,1,East
99999,99999,27,29,495,594,1,East
25,99999,99999,27,594,693,1,North
24,26,99999,99999,693,792,1,North
22,24,99999,99999,792,891,1,North
99999,23,21,23,891,990,1,East
99999,99999,19,21,990,1089,1,East
99999,99999,19,21,1089,1188,1,East
17,19,99999,19,1188,1287,1,North
15,17,99999,99999,1287,1386,1,North
14,16,99999,99999,1386,1485,1,North
13,15,15,13,1485,1584,1,West
99999,99999,14,12,1584,1683,1,West
10,99999,12,12,1683,1682,1,North
9,11,99999,99999,1682,1681,2,North
8,10,99999,10,1681,1680,2,North
7,9,99999,99999,1680,1679,2,North
6,8,8,99999,1679,1678,2,North
5,7,99999,99999,1678,1677,2,North
99999,7,99999,5,1677,1676,2,West
99999,99999,5,3,1676,1675,3,West
99999,99999,5,3,1675,1674,3,West
99999,99999,3,1,1674,1673,3,West
3,99999,3,1,1673,1672,3,West
99999,1,3,1,1672,1871,4,South
2,0,99999,2,1871,2070,5,South
3,99999,1,2,2070,2269,5,East
99999,99999,5,3,2269,2268,4,West
5,99999,5,3,2268,2267,5,West
3,99999,3,1,2267,2266,5,West
99999,99999,3,1,2266,2265,4,West
