@RELATION 'training_tutorial1_score10'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,190,99999,East
99999,5,5,7,-1,189,99999,South
6,4,4,99999,-2,188,99999,South
5,99999,3,5,-3,187,99999,East
4,2,4,4,-4,186,99999,South
3,1,3,99999,-5,185,99999,South
2,2,2,0,-6,184,99999,West
99999,13,15,13,193,183,99999,South
14,12,14,12,192,182,99999,South
13,11,13,11,191,181,99999,South
12,99999,12,10,190,180,99999,West
11,99999,11,9,189,379,99999,West
10,99999,10,8,188,378,99999,West
9,99999,9,7,187,377,99999,West
99999,99999,8,6,186,376,99999,West
5,99999,7,5,185,375,99999,North
4,6,99999,4,184,374,99999,North
3,5,99999,3,183,373,99999,North
99999,4,99999,2,182,372,99999,West
99999,3,3,1,181,371,99999,West
99999,2,2,0,180,370,99999,West
99999,21,21,19,379,369,99999,West
18,20,20,18,378,368,99999,North
17,19,99999,17,377,367,99999,North
16,18,18,16,376,366,99999,North
15,17,17,15,375,365,99999,North
99999,16,16,14,374,364,99999,West
13,15,15,15,373,363,99999,North
12,14,99999,14,372,362,99999,North
11,13,99999,13,371,361,99999,North
10,12,99999,12,370,360,99999,North
99999,11,9,11,369,559,99999,East
99999,99999,8,10,368,558,99999,East
99999,99999,7,9,367,557,99999,East
99999,99999,6,8,366,556,99999,East
99999,99999,5,7,365,555,99999,East
99999,4,6,6,364,554,99999,South
5,3,5,99999,363,553,99999,South
4,99999,4,2,362,552,99999,West
99999,99999,6,8,0,190,99999,East
99999,4,4,6,-1,189,99999,South
6,4,4,99999,-2,188,99999,South
5,99999,3,5,-3,187,99999,East
4,2,2,4,-4,186,99999,South
2,2,0,99999,-5,185,99999,East
14,12,14,12,194,184,99999,South
13,11,13,11,193,183,99999,South
11,9,11,9,192,382,99999,South
11,9,11,9,191,381,99999,South
9,99999,9,7,190,380,99999,West
7,99999,7,5,189,379,99999,West
