@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
15,9,0,1,1,0,1,10,13,13,13,14,13,17,13,1,1,1,1,1480,1,East
16,9,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1579,1,East
17,9,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1678,1,East
18,9,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1777,1,East
19,9,1,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1876,1,North
19,10,1,1,0,0,1,10,13,13,13,14,13,17,13,1,1,1,1,1875,2,North
19,11,1,1,0,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1874,2,North
19,12,1,1,0,0,1,10,13,13,13,14,13,17,13,1,1,1,1,1873,2,North
19,13,1,1,1,0,1,10,13,13,13,14,13,17,13,1,1,1,1,1872,2,North
19,14,1,1,0,0,1,10,13,13,13,14,13,17,13,1,1,1,1,1871,2,North
19,15,0,1,0,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1870,2,West
18,15,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1869,3,West
17,15,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1868,3,West
16,15,0,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1867,3,West
15,15,1,0,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1866,3,West
14,15,0,1,1,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1865,4,South
14,14,1,1,0,1,1,10,13,13,13,14,13,17,13,1,1,1,1,1864,5,South
14,13,1,0,1,1,1,10,13,13,13,5,1,17,13,1,1,0,1,2063,6,East
15,13,0,0,1,1,1,10,13,13,13,5,1,17,13,1,1,0,1,2062,5,East
16,13,0,0,1,1,1,10,13,13,13,5,1,17,13,1,1,0,1,2061,5,East
17,13,0,0,0,1,1,10,13,13,13,5,1,7,1,1,1,0,0,2260,4,West
16,13,0,0,1,1,1,10,13,13,13,5,1,7,1,1,1,0,0,2259,5,West
15,13,0,0,1,1,1,10,13,13,13,5,1,7,1,1,1,0,0,2258,5,West
14,13,1,0,1,1,1,10,13,13,13,5,1,7,1,1,1,0,0,2257,6,West
13,13,1,0,1,1,1,10,13,3,1,5,1,7,1,1,0,0,0,2456,5,West
12,13,0,0,1,1,1,10,13,3,1,5,1,7,1,1,0,0,0,2455,4,West
9,1,0,0,1,1,1,1,5,8,5,11,5,18,5,1,1,1,1,0,1,Stop
9,1,0,0,1,1,1,2,5,9,5,10,5,18,5,1,1,1,1,-1,1,Stop
9,1,0,0,1,1,1,2,5,9,5,10,5,18,5,1,1,1,1,-2,1,East
10,1,0,0,1,1,1,2,5,8,5,10,5,18,5,1,1,1,1,97,1,East
11,1,0,0,1,1,1,2,5,8,5,10,4,17,5,1,1,1,1,196,1,East
12,1,0,0,1,1,1,2,5,8,5,9,4,16,5,1,1,1,1,295,1,East
13,1,1,0,1,1,1,3,5,8,5,10,4,16,5,1,1,1,1,394,1,East
14,1,0,0,1,1,1,2,5,9,5,10,3,17,5,1,1,1,1,493,1,East
15,1,1,0,1,1,1,1,5,9,4,10,4,17,5,1,1,1,1,592,1,North
15,2,1,1,0,0,1,2,5,9,4,10,4,16,5,1,1,1,1,691,1,North
15,3,1,1,1,0,1,3,5,10,4,10,4,17,5,1,1,1,1,790,1,North
15,4,1,1,0,1,1,3,5,10,5,10,3,18,5,1,1,1,1,889,1,North
15,5,0,1,1,1,1,2,5,9,5,11,3,18,4,1,1,1,1,988,1,East
16,5,0,0,1,1,1,3,5,10,5,12,3,18,5,1,1,1,1,1087,1,East
17,5,0,0,1,1,1,4,5,10,5,12,3,18,5,1,1,1,0,1386,2,East
