@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
1,1,1,1,1,0.88,0.6,0.100605,0.00008,West
1,1,1,1,1,0.84,0.6,0.100353,0.00009,West
1,1,1,1,1,0.8,0.6,0.100101,0.0001,West
1,1,1,1,1,0.76,0.6,0.099849,0.00011,West
1,1,1,1,1,0.72,0.6,0.099597,0.00012,West
1,1,1,1,1,0.68,0.6,0.099344,0.00013,West
1,1,1,1,1,0.64,0.6,0.099092,0.00014,West
1,1,1,1,1,0.6,0.3,0.149269,0.00015,North
1,1,1,1,1,0.6,0.35,0.149017,0.00014,North
1,1,1,1,1,0.6,0.4,0.148764,0.00013,North
0,1,1,1,1,0.6,0.45,0.148512,0.00012,East
1,1,1,1,1,0.64,0.45,0.14826,0.00011,North
1,1,1,0,1,0.64,0.5,0.148008,0.00012,North
1,1,1,1,1,0.64,0.55,0.147756,0.00013,West
1,1,1,1,1,0.56,0.5,0.002269,0.00006,East
1,1,1,1,1,0.6,0.5,0.002017,0.00005,North
1,1,1,1,1,0.6,0.55,0.001765,0.00006,North
1,1,1,1,1,0.64,0.6,0.001513,0.00007,West
1,1,1,1,1,0.8,0.6,0.051689,0.00008,West
1,1,1,1,1,0.76,0.6,0.051437,0.00009,West
1,1,1,1,1,0.76,0.6,0.051185,0.0001,West
1,1,1,1,1,0.68,0.6,0.050933,0.00011,West
1,1,1,1,1,0.68,0.6,0.050681,0.00012,West
1,1,1,1,1,0.68,0.6,0.050429,0.00013,West
1,1,1,1,1,0.64,0.6,0.050177,0.00014,West
1,1,1,1,1,0.68,1,0.100353,0.00015,South
1,0,1,1,1,0.68,0.9,0.100101,0.00014,East
1,1,1,1,1,0.72,0.9,0.099849,0.00013,South
1,1,1,0,1,0.68,0.85,0.099597,0.00012,South
1,1,1,1,1,0.68,0.85,0.099344,0.00011,West
0,1,1,1,1,0.64,0.8,0.099092,0.00012,West
0,1,1,1,1,0.6,0.75,0.09884,0.00013,South
1,1,1,1,1,0.6,0.7,0.098588,0.00014,South
1,1,1,1,1,0.56,0.65,0.098336,0.00015,East
1,1,1,1,1,0.56,0.65,0.098084,0.00014,East
1,1,1,1,1,0.56,0.65,0.097832,0.00013,East
1,1,1,1,1,0.6,0.7,0.097579,0.00012,South
1,1,1,1,1,0.6,0.65,0.097327,0.00013,South
1,1,1,1,1,0.2,0.7,0.147504,0.00014,East
1,1,1,1,1,0.2,0.7,0.147252,0.00013,East
1,1,1,1,1,0.24,0.65,0.146999,0.00012,East
1,1,1,1,1,0.28,0.6,0.146747,0.00011,East
1,1,1,1,1,0.32,0.65,0.146495,0.0001,East
1,1,1,1,1,0.36,0.6,0.146243,0.00009,East
1,1,1,1,1,0.4,0.65,0.145991,0.00008,East
1,1,1,1,1,0.48,0.65,0.145739,0.00007,East
1,1,1,1,1,0.52,0.7,0.145487,0.00006,East
1,1,1,1,1,0.56,0.7,0.145234,0.00005,East
1,1,1,1,1,0.64,0.7,0.144982,0.00004,West
0,1,1,1,1,0.32,0.85,0.002269,0.00001,South
1,1,1,1,1,0.32,0.8,0.002017,0,East
1,1,1,1,1,0.36,0.8,0.026979,0,South
1,1,1,1,1,0.36,0.75,0.051942,0,East
1,1,1,1,1,0.4,0.75,0.076904,0,East
1,1,1,1,1,0.44,0.75,0.101866,0,South
1,1,1,1,1,0.44,0.7,0.126828,0,South
1,1,1,1,1,0.44,0.65,0.15179,0,South
1,1,1,1,1,0.44,0.6,0.176752,0,East
1,1,1,1,1,0.48,0.6,0.1765,0,East
1,1,1,1,1,0.52,0.6,0.176248,0,East
1,1,1,1,1,0.56,0.6,0.20121,0,East
1,1,1,1,1,0.68,0.8,0.251387,0,West
1,1,1,1,1,0.64,0.8,0.251135,0,South
1,1,1,1,1,0.64,0.75,0.276097,0,South
1,1,1,1,1,0.64,0.7,0.301059,0,South
1,1,1,1,1,0.64,0.65,0.326021,0,South
1,0,1,1,1,0.64,0.6,0.350983,0.00001,West
1,0,1,1,1,0.2,0.15,0.40116,0,East
1,0,1,1,1,0.24,0.15,0.400908,0.00001,North
1,1,1,1,1,0.24,0.2,0.400656,0,East
1,1,1,1,1,0.28,0.2,0.425618,0,North
1,1,1,1,1,0.28,0.25,0.45058,0,East
1,1,1,1,1,0.32,0.25,0.475542,0,East
