@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 105\nSize of the tree: 209\n','Number of rules: 73\n','Number of rules: 80\n','Number of rules: 69\n','Number of rules: 64\n','Number of rules: 78\n','Number of rules: 77\n','Number of rules: 79\n','Number of rules: 74\n','Number of rules: 65\n','Number of rules: 83\n','Number of rules: 71\n','Number of rules: 67\n','Number of rules: 75\n','Number of rules: 70\n','Number of rules: 76\n','Number of rules: 72\n','Number of rules: 68\n','Number of rules: 81\n','Number of rules: 59\n','Number of rules: 82\n','Number of rules: 84\n','Number of rules: 66\n','Number of rules: 62\n','Number of rules: 63\n','Number of rules: 86\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

all_data_pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,593,65,49,16,0,75.384615,24.615385,0,0.661899,0.108204,0.274542,37.066837,71.860227,135.583351,5401.369135,-5265.785784,2.085898,83.097987,-81.012089,94.624479,1.455761,4553.550714,0.714286,5,0.034483,2,0.965517,56,0.285714,2,0.714286,0.714286,0.714286,0.679803,0.964286,0.796032,0.753846,0.101607,0.898393,0.246154,0.759879,0.753846,0.752854,0.65537,0.897074,0.763776,0.773682,0.753846,0.009,0,0.01,0,10,0,50127,114970,15178,92.307692,30.769231,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95
all_data_pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,41,25,0,62.121212,37.878788,0,0.495567,0.157563,0.34082,53.898856,89.066386,137.952393,11856.29928,-11718.346887,2.090188,179.640898,-177.55071,72.571958,1.099575,3493.157022,0.142857,1,0.118644,7,0.881356,52,0.857143,6,0.125,0.142857,0.133333,0.022844,0.546005,0.138547,0.621212,0.103427,0.896573,0.378788,0.658214,0.621212,0.628535,0.520518,0.825956,0.659784,0.602381,0.621212,0.008,0.001,0.01,0,10,0,46255,114781,15367,81.818182,34.242424,'Number of leaves: 87\nSize of the tree: 173\n',173,87,87
all_data_pacman,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,39,27,0,59.090909,40.909091,0,0.41497,0.170704,0.348994,58.394283,91.202517,137.952393,11861.01946,-11723.067066,2.090188,179.712416,-177.622228,65.907493,0.998598,3172.371607,0.142857,1,0.084746,5,0.915254,54,0.857143,6,0.166667,0.142857,0.153846,0.062242,0.622276,0.161255,0.590909,0.19416,0.80584,0.409091,0.590465,0.590909,0.574263,0.421545,0.786019,0.600911,0.565888,0.590909,0.011,0,0.01,0,10,0,43835,114781,15367,83.333333,39.69697,'Number of leaves: 82\nSize of the tree: 163\n',163,82,82
all_data_pacman,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,41,25,0,62.121212,37.878788,0,0.477683,0.157673,0.350676,53.968431,91.702972,137.732073,11858.487915,-11720.755842,2.08685,179.674059,-177.58721,72.269603,1.094994,3477.987444,0.142857,1,0.016949,1,0.983051,58,0.857143,6,0.5,0.142857,0.222222,0.226164,0.602906,0.264688,0.621212,0.1483,0.8517,0.378788,0.618298,0.621212,0.605771,0.470366,0.800068,0.580887,0.597436,0.621212,0.008,0.001,0.01,0,10,0,47707,114781,15367,81.818182,33.636364,'Number of leaves: 90\nSize of the tree: 179\n',179,90,90
all_data_pacman,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,42,24,0,63.636364,36.363636,0,0.505772,0.165203,0.341611,56.545739,89.33226,137.732073,10791.500494,-10653.768421,2.08685,163.507583,-161.420734,72.151876,1.09321,3472.321802,0.142857,1,0.050847,3,0.949153,56,0.857143,6,0.25,0.142857,0.181818,0.118736,0.636804,0.218709,0.636364,0.128639,0.871361,0.363636,0.631818,0.636364,0.62899,0.500257,0.784729,0.583204,0.619964,0.636364,0.009,0,0.01,0,10,0,35607,114781,15367,83.333333,42.424242,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
all_data_pacman,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,41,25,0,62.121212,37.878788,0,0.462366,0.170617,0.363863,58.398887,95.151405,137.732073,17218.952717,-17081.220645,2.08685,260.893223,-258.806373,65.636606,0.994494,3158.773284,0,0,0.033898,2,0.966102,57,1,7,0,0,0,-0.06089,0.484262,0.115708,0.621212,0.158797,0.841203,0.378788,0.563361,0.621212,0.588999,0.456785,0.742821,0.506605,0.542899,0.621212,0.008,0,0.01,0,10,0,48191,114781,15367,72.727273,31.515152,'Number of leaves: 91\nSize of the tree: 181\n',181,91,91
all_data_pacman,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,42,24,0,63.636364,36.363636,0,0.504225,0.151174,0.345182,51.833871,90.44265,136.773632,10788.413492,-10651.63986,2.072328,163.46081,-161.388483,75.519123,1.144229,3631.569704,0.333333,2,0.083333,5,0.916667,55,0.666667,4,0.285714,0.333333,0.307692,0.233408,0.705556,0.318182,0.636364,0.130039,0.869961,0.363636,0.643107,0.636364,0.639155,0.505838,0.81918,0.632893,0.633798,0.636364,0.009,0,0.01,0,10,0,43351,114781,15367,80.30303,30.909091,'Number of leaves: 81\nSize of the tree: 161\n',161,81,81
all_data_pacman,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,42,24,0,63.636364,36.363636,0,0.486714,0.156808,0.328567,53.765692,86.089457,136.773632,6505.317644,-6368.544012,2.072328,98.565419,-96.493091,71.47583,1.082967,3437.135498,0.166667,1,0.05,3,0.95,57,0.833333,5,0.25,0.166667,0.2,0.140563,0.641667,0.295694,0.636364,0.1555,0.8445,0.363636,0.617003,0.636364,0.620521,0.486681,0.844896,0.653283,0.596191,0.636364,0.006,0,0,0,0,0,41899,114781,15367,87.878788,40.606061,'Number of leaves: 78\nSize of the tree: 155\n',155,78,78
all_data_pacman,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,44,22,0,66.666667,33.333333,0,0.532367,0.142618,0.324593,48.900233,85.048009,136.773632,9708.890526,-9572.116894,2.072328,147.104402,-145.032074,77.403915,1.172787,3722.205772,0.166667,1,0.033333,2,0.966667,58,0.833333,5,0.333333,0.166667,0.222222,0.184017,0.870833,0.399227,0.666667,0.140536,0.859464,0.333333,0.659752,0.666667,0.651759,0.53318,0.83288,0.646751,0.628169,0.666667,0.008,0,0,0,0,0,40931,114781,15367,84.848485,36.969697,'Number of leaves: 76\nSize of the tree: 151\n',151,76,76
all_data_pacman,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,593,65,39,26,0,60,40,0,0.44699,0.1669,0.364639,57.437021,95.937552,133.038736,17214.135695,-17081.096959,2.04675,264.832857,-262.786107,65.3557,1.005472,3138.621411,0.333333,2,0.067797,4,0.932203,55,0.666667,4,0.333333,0.333333,0.333333,0.265537,0.675141,0.25289,0.6,0.139538,0.860462,0.4,0.592308,0.6,0.594106,0.455984,0.763731,0.54547,0.591826,0.6,0.008,0.001,0.01,0,10,0,43835,114970,15178,73.846154,31.692308,'Number of leaves: 82\nSize of the tree: 163\n',163,82,82
