@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
6,4,4,6,533,532,East
4,2,2,4,532,531,South
4,2,2,4,531,530,South
2,4,2,4,530,529,East
99999,11,11,13,0,-1,Stop
99999,11,11,13,-1,-2,Stop
99999,11,11,13,-2,-3,East
99999,10,10,12,-3,-4,East
99999,9,9,11,-4,95,East
99999,8,8,10,95,194,East
99999,7,7,9,194,293,East
99999,6,6,8,293,392,East
99999,5,5,7,392,491,South
6,4,4,6,491,590,South
5,3,3,5,590,689,South
4,2,2,4,689,788,South
3,1,1,3,788,887,East
2,0,2,2,887,1086,South
7,5,7,5,1086,1085,South
6,4,6,4,1085,1184,South
5,3,5,3,1184,1283,South
4,2,4,2,1283,1282,South
3,99999,3,1,1282,1381,West
2,99999,2,0,1381,1580,West
18,99999,18,20,1580,1579,East
17,99999,17,19,1579,1578,East
16,99999,16,18,1578,1577,East
15,99999,15,17,1577,1576,East
14,99999,14,16,1576,1575,East
13,99999,13,15,1575,1574,North
12,14,12,14,1574,1573,North
11,13,11,13,1573,1672,East
10,12,10,12,1672,1771,East
9,11,9,11,1771,1870,East
8,10,8,10,1870,1969,North
7,9,7,9,1969,2068,North
6,8,6,8,2068,2167,North
5,7,5,7,2167,2266,North
4,6,4,6,2266,2365,North
3,5,3,5,2365,2464,North
2,4,2,4,2464,2563,North
99999,3,1,3,2563,2662,East
99999,2,0,2,2662,2861,East
99999,5,5,7,2861,2960,East
99999,4,4,6,2960,3059,South
5,3,3,5,3059,3158,South
4,2,2,4,3158,3257,East
3,1,1,3,3257,3356,East
99999,12,12,14,-1,-2,Stop
99999,12,12,14,-2,-3,East
99999,8,8,10,-4,95,East
99999,8,10,10,95,194,East
99999,10,11,10,194,293,East
99999,10,10,10,293,392,East
99999,9,9,11,392,491,South
11,9,9,11,491,590,South
10,9,8,9,590,689,South
9,7,7,7,689,788,South
8,7,7,7,788,887,South
7,5,7,5,887,886,West
7,5,7,5,886,885,West
7,5,7,5,885,984,West
6,4,6,4,984,1083,South
6,4,6,4,1083,1182,South
4,2,4,2,1182,1281,South
2,0,2,2,1281,1380,West
3,1,1,3,1380,1379,South
2,99999,0,2,1379,1678,East
6,99999,6,8,1678,1777,East
5,99999,5,7,1777,1776,East
5,99999,5,7,1776,1775,North
3,5,3,5,1775,1774,North
3,3,1,3,1774,2073,East
12,14,12,14,2073,2172,East
12,14,12,14,2172,2271,East
10,12,10,12,2271,2270,East
8,10,8,10,2270,2269,East
8,10,8,10,2269,2368,East
8,10,8,10,2368,2467,East
6,8,6,8,2467,2566,East
6,8,6,8,2566,2665,North
4,6,4,6,2665,2764,East
3,5,3,5,2764,2863,East
2,4,2,4,2863,2962,East
0,2,2,2,2962,3261,North
5,7,5,7,3261,3360,North
5,7,5,7,3360,3459,North
4,6,4,6,3459,3558,North
4,4,2,4,3558,3657,East
99999,6,6,99999,0,-1,Stop
99999,6,6,99999,-1,-2,Stop
99999,6,6,99999,-2,-3,Stop
99999,6,6,99999,-3,-4,East
99999,99999,5,7,-4,-5,East
