@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,4,2,4,552,East,551
99999,99999,1,3,553,East,552
3,5,99999,5,553,North,552
4,99999,2,4,554,East,553
3,99999,5,5,554,North,553
5,99999,3,5,555,East,554
99999,99999,6,4,555,West,554
6,99999,4,6,556,East,555
3,99999,1,3,356,East,555
99999,99999,5,7,557,East,556
99999,99999,6,8,558,East,557
4,99999,4,2,558,West,557
99999,99999,7,99999,559,East,558
4,2,4,2,559,South,558
99999,99999,2,0,360,West,559
4,4,4,2,560,West,559
5,3,5,3,561,South,560
5,3,5,3,562,South,561
6,4,6,4,563,South,562
8,6,8,6,564,South,563
9,7,9,7,565,South,564
10,8,10,99999,566,South,565
11,9,11,11,567,South,566
12,10,12,12,568,South,567
14,12,14,14,569,South,568
99999,14,16,16,570,South,569
99999,2,2,0,371,West,570
3,3,3,1,571,West,570
4,4,4,2,572,West,571
5,5,5,3,573,West,572
99999,6,6,4,574,West,573
99999,99999,7,5,575,West,574
99999,8,8,6,576,West,575
1,3,3,1,577,North,576
9,9,9,7,577,West,576
2,4,4,99999,578,North,577
10,8,99999,99999,578,South,577
3,5,5,5,579,North,578
2,0,2,2,379,South,578
99999,6,4,6,580,East,579
5,7,5,7,581,North,580
6,8,6,8,582,North,581
7,9,7,9,583,North,582
2,2,2,0,384,West,583
7,5,5,7,494,East,593
7,5,5,7,494,East,593
99999,99999,24,26,495,East,594
99999,99999,27,29,495,East,594
1,3,3,1,655,North,654
1,99999,3,1,656,North,655
3,99999,3,1,657,West,656
5,99999,5,3,658,West,657
7,99999,7,5,659,West,658
8,99999,8,6,660,West,659
10,99999,10,8,661,West,660
10,99999,99999,8,662,West,661
10,8,99999,8,663,South,662
99999,10,12,10,664,South,663
99999,99999,14,12,665,West,664
99999,15,15,13,666,West,665
15,15,15,13,667,West,666
15,17,17,15,668,North,667
15,99999,17,15,669,North,668
4,2,2,4,470,South,669
6,4,4,6,593,East,692
6,4,4,6,593,East,692
23,99999,99999,25,594,North,693
25,99999,99999,27,594,North,693
5,3,3,5,692,East,791
4,2,2,4,692,East,791
22,24,99999,99999,693,North,792
24,26,99999,99999,693,North,792
4,2,2,4,791,South,890
4,2,4,4,791,South,890
21,23,99999,99999,792,North,891
22,24,99999,99999,792,North,891
3,1,1,3,890,East,989
99999,22,20,22,891,East,990
99999,23,21,23,891,East,990
99999,99999,19,21,990,East,1089
99999,99999,19,21,990,East,1089
2,0,2,2,989,South,1188
99999,99999,18,20,1089,East,1188
99999,99999,19,21,1089,East,1188
2,0,2,2,890,South,1189
7,5,7,5,1188,West,1287
17,19,99999,19,1188,North,1287
17,19,99999,19,1188,North,1287
8,6,6,8,1189,South,1288
6,4,6,4,1287,South,1386
16,18,99999,99999,1287,North,1386
15,17,99999,99999,1287,North,1386
7,5,5,7,1288,South,1387
3,1,3,3,1484,South,1483
4,2,4,4,1485,South,1484
5,3,5,3,1386,West,1485
15,17,99999,99999,1386,North,1485
14,16,99999,99999,1386,North,1485
7,5,5,7,1387,East,1486
14,16,16,14,1485,West,1584
13,15,15,13,1485,West,1584
7,5,5,7,1486,East,1585
99999,1,3,2,1672,South,1671
4,99999,4,2,1673,West,1672
3,99999,3,1,1673,West,1672
99999,99999,5,3,1674,West,1673
99999,99999,3,1,1674,West,1673
4,4,2,4,1675,East,1674
99999,99999,6,4,1675,West,1674
99999,99999,5,3,1675,West,1674
2,4,2,4,1676,North,1675
99999,99999,7,5,1676,West,1675
99999,99999,5,3,1676,West,1675
4,2,2,4,1677,South,1676
99999,8,99999,6,1677,West,1676
99999,7,99999,5,1677,West,1676
2,4,2,4,1678,North,1677
7,9,99999,99999,1678,North,1677
5,7,99999,99999,1678,North,1677
2,4,2,4,1679,North,1678
8,10,10,99999,1679,North,1678
6,8,8,99999,1679,North,1678
2,99999,2,4,1680,North,1679
9,11,99999,99999,1680,North,1679
7,9,99999,99999,1680,North,1679
4,2,2,4,1681,South,1680
10,12,99999,12,1681,North,1680
8,10,99999,10,1681,North,1680
2,99999,2,4,1682,North,1681
11,13,99999,99999,1682,North,1681
9,11,99999,99999,1682,North,1681
2,0,2,2,1483,South,1682
4,99999,2,4,1683,East,1682
12,99999,14,14,1683,North,1682
10,99999,12,12,1683,North,1682
6,4,4,6,1684,South,1683
99999,99999,15,13,1584,West,1683
99999,99999,14,12,1584,West,1683
6,5,5,7,1585,South,1684
18,99999,18,20,1682,East,1781
2,0,99999,1,1671,South,1870
99999,1,3,1,1672,South,1871
5,5,3,5,1873,East,1872
2,2,0,2,1674,East,1873
17,99999,17,19,1781,North,1880
5,3,3,5,1872,East,1971
16,18,16,18,1880,East,1979
