@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureOutOfBagError numeric
@attribute measureBestNumIts numeric
@attribute measureBestVal numeric

@data

test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,2,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,34,5,0,87.179487,12.820513,0,0.826203,0.08344,0.243234,22.391361,56.370937,77.411339,1094.159177,-1016.747838,1.984906,28.055364,-26.070457,62.56351,1.604193,3147.335853,0.777778,7,0,0,1,30,0.222222,2,1,0.777778,0.875,0.853913,0.97963,0.955556,0.871795,0.049647,0.950353,0.128205,0.883516,0.871795,0.870299,0.833369,0.940104,0.871714,0.865972,0.871795,0.011,0,0.01,0,10,0,64099,73546,11021,94.871795,36.538462,'Number of rules: 27\n',27,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,3,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,29,10,0,74.358974,25.641026,0,0.657594,0.141059,0.340669,37.85384,78.952053,77.411339,4322.590457,-4245.179118,1.984906,110.835653,-108.850747,51.976782,1.332738,2614.75723,0.666667,6,0.133333,4,0.866667,26,0.333333,3,0.6,0.666667,0.631579,0.514614,0.835185,0.51857,0.74359,0.082254,0.917746,0.25641,0.758159,0.74359,0.745526,0.664223,0.872572,0.697697,0.742436,0.74359,0.012,0,0.01,0,10,0,71174,73546,11021,82.051282,37.179487,'Number of rules: 33\n',33,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,4,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,33,5,0,86.842105,13.157895,0,0.822926,0.0809,0.260223,21.68566,60.23232,75.627564,5371.777608,-5296.150044,1.990199,141.362569,-139.37237,61.830041,1.627106,3111.371262,0.666667,6,0.034483,1,0.965517,28,0.333333,3,0.857143,0.666667,0.75,0.69332,0.810345,0.650376,0.868421,0.051052,0.948948,0.131579,0.883459,0.868421,0.869044,0.82714,0.89427,0.777774,0.874342,0.868421,0.014,0.001,0.02,0,20,0,75743,73751,10816,86.842105,30.921053,'Number of rules: 33\n',33,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,5,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,32,6,0,84.210526,15.789474,0,0.788104,0.09114,0.265994,24.430555,61.56815,75.627564,4302.655238,-4227.027674,1.990199,113.227769,-111.23757,59.164162,1.556952,2977.220638,0.777778,7,0.034483,1,0.965517,28,0.222222,2,0.875,0.777778,0.823529,0.775132,0.877395,0.830409,0.842105,0.050398,0.949602,0.157895,0.849516,0.842105,0.839919,0.796319,0.918219,0.832491,0.828036,0.842105,0.011,0,0.01,0,10,0,63819,73751,10816,89.473684,34.868421,'Number of rules: 30\n',30,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,6,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,30,8,0,78.947368,21.052632,0,0.718519,0.119407,0.304029,32.007563,70.371851,75.627564,2174.087087,-2098.459523,1.990199,57.212818,-55.222619,54.779803,1.441574,2756.593762,0.777778,7,0.068966,2,0.931034,27,0.222222,2,0.777778,0.777778,0.777778,0.708812,0.931034,0.760648,0.789474,0.070609,0.929391,0.210526,0.789474,0.789474,0.788333,0.717791,0.925086,0.814609,0.789083,0.789474,0.011,0,0.01,0,10,0,48779,73751,10816,89.473684,40.131579,'Number of rules: 24\n',24,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,7,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,32,6,0,84.210526,15.789474,0,0.788497,0.091214,0.265951,24.450398,61.558025,75.627564,3233.30643,-3157.678866,1.990199,85.087011,-83.096812,59.903774,1.576415,3014.438898,0.888889,8,0.034483,1,0.965517,28,0.111111,1,0.888889,0.888889,0.888889,0.854406,0.938697,0.890513,0.842105,0.054366,0.945634,0.157895,0.860099,0.842105,0.841847,0.795614,0.91918,0.795474,0.84232,0.842105,0.017,0.001,0.02,0,20,0,69044,73751,10816,89.473684,34.210526,'Number of rules: 32\n',32,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,8,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,30,8,0,78.947368,21.052632,0,0.719039,0.125372,0.318401,33.606654,73.698532,75.627564,6453.422015,-6377.794451,1.990199,169.826895,-167.836696,54.34885,1.430233,2734.907622,1,9,0.068966,2,0.931034,27,0,0,0.818182,1,0.9,0.872786,0.971264,0.862374,0.789474,0.074312,0.925688,0.210526,0.781499,0.789474,0.781579,0.709757,0.87571,0.751765,0.79375,0.789474,0.011,0,0.01,0,10,0,74159,73751,10816,84.210526,34.210526,'Number of rules: 34\n',34,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,9,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,30,8,0,78.947368,21.052632,0,0.715888,0.118153,0.312153,31.729231,72.400833,75.268472,6450.929754,-6375.661282,1.980749,169.761309,-167.78056,54.287735,1.428625,2730.369652,0.777778,7,0.034483,1,0.965517,28,0.222222,2,0.875,0.777778,0.823529,0.775132,0.871648,0.782129,0.789474,0.073658,0.926342,0.210526,0.802893,0.789474,0.789783,0.723513,0.857924,0.70618,0.784454,0.789474,0.01,0,0.01,0,10,0,64523,73751,10816,84.210526,35.526316,'Number of rules: 29\n',29,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,10,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,28,10,0,73.684211,26.315789,0,0.642185,0.137428,0.334013,36.905302,77.471041,75.268472,2178.852353,-2103.583881,1.980749,57.33822,-55.357471,50.075537,1.317777,2518.519637,1,9,0.172414,5,0.827586,24,0,0,0.642857,1,0.782609,0.729397,0.957854,0.788034,0.736842,0.094441,0.905559,0.263158,0.78515,0.736842,0.714322,0.65856,0.910143,0.781133,0.692892,0.736842,0.009,0,0,0,0,0,60366,73751,10816,94.736842,42.105263,'Number of rules: 31\n',31,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,3,1,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,32,7,0,82.051282,17.948718,0,0.761155,0.103353,0.283867,27.735292,65.787819,77.411339,4307.952286,-4230.540947,1.984906,110.460315,-108.475409,59.570521,1.527449,2996.769777,0.888889,8,0.133333,4,0.866667,26,0.111111,1,0.666667,0.888889,0.761905,0.689725,0.901852,0.736752,0.820513,0.059849,0.940151,0.179487,0.837995,0.820513,0.816117,0.763189,0.915868,0.796749,0.829762,0.820513,0.01,0,0.02,0,20,0,63407,73546,11021,89.74359,37.179487,'Number of rules: 28\n',28,?,?,?,?,?,?,?,?,?,?
